fund_code,trade_time,trade_date,open,high,low,close,volume,amount,change,change_pct
517170,2021-04-20 00:00:00,2021-04-20,0.991,1.002,0.991,1.0,94626250,94453131.0,,
517170,2021-04-21 00:00:00,2021-04-21,1.0,1.0,0.988,0.996,7108900,7067059.0,-0.004,-0.4
517170,2021-04-22 00:00:00,2021-04-22,0.996,0.999,0.991,0.997,6934100,6903898.0,0.001,0.1
517170,2021-04-23 00:00:00,2021-04-23,0.999,1.009,0.999,1.006,42082700,42274378.0,0.009,0.903
517170,2021-04-26 00:00:00,2021-04-26,1.006,1.011,0.999,1.001,20421500,20547730.0,-0.005,-0.497
517170,2021-04-27 00:00:00,2021-04-27,1.0,1.0,0.992,0.999,2352400,2340531.0,-0.002,-0.2
517170,2021-04-28 00:00:00,2021-04-28,0.995,1.005,0.993,1.003,7283700,7277199.0,0.004,0.4
517170,2021-04-29 00:00:00,2021-04-29,1.005,1.012,1.002,1.011,14543650,14655938.0,0.008,0.798
517170,2021-04-30 00:00:00,2021-04-30,1.01,1.01,0.998,1.002,1109700,1112833.0,-0.009,-0.89
517170,2021-05-06 00:00:00,2021-05-06,0.996,1.0,0.984,0.99,1679000,1662431.0,-0.012,-1.198
517170,2021-05-07 00:00:00,2021-05-07,0.99,0.996,0.98,0.981,2434100,2405783.0,-0.009,-0.909
517170,2021-05-10 00:00:00,2021-05-10,0.982,0.985,0.972,0.975,4309200,4212459.0,-0.006,-0.612
517170,2021-05-11 00:00:00,2021-05-11,0.966,0.975,0.96,0.975,4833900,4679220.0,0.0,0.0
517170,2021-05-12 00:00:00,2021-05-12,0.97,0.976,0.969,0.975,1992800,1940090.0,0.0,0.0
517170,2021-05-13 00:00:00,2021-05-13,0.974,0.974,0.963,0.966,1020400,986350.0,-0.009,-0.923
517170,2021-05-14 00:00:00,2021-05-14,0.965,0.975,0.961,0.975,950700,919011.0,0.009,0.932
517170,2021-05-17 00:00:00,2021-05-17,0.977,0.99,0.977,0.988,1908600,1884417.0,0.013,1.333
517170,2021-05-18 00:00:00,2021-05-18,0.991,0.994,0.987,0.993,1879500,1861919.0,0.005,0.506
517170,2021-05-19 00:00:00,2021-05-19,0.994,0.997,0.984,0.994,1924500,1905221.0,0.001,0.101
517170,2021-05-20 00:00:00,2021-05-20,0.991,0.996,0.99,0.996,572400,567861.0,0.002,0.201
517170,2021-05-21 00:00:00,2021-05-21,0.993,0.993,0.987,0.99,668700,660876.0,-0.006,-0.602
517170,2021-05-24 00:00:00,2021-05-24,0.986,0.99,0.979,0.99,499700,492447.0,0.0,0.0
517170,2021-05-25 00:00:00,2021-05-25,0.99,1.007,0.97,1.006,4837000,4844128.0,0.016,1.616
517170,2021-05-26 00:00:00,2021-05-26,1.01,1.016,1.01,1.014,16456500,16679066.0,0.008,0.795
517170,2021-05-27 00:00:00,2021-05-27,1.003,1.016,1.003,1.014,2596800,2627286.0,0.0,0.0
517170,2021-05-28 00:00:00,2021-05-28,1.013,1.019,1.007,1.012,5300900,5384998.0,-0.002,-0.197
517170,2021-05-31 00:00:00,2021-05-31,1.01,1.015,1.006,1.014,3536100,3573775.0,0.002,0.198
517170,2021-06-01 00:00:00,2021-06-01,1.014,1.023,1.012,1.021,11262500,11453781.0,0.007,0.69
517170,2021-06-02 00:00:00,2021-06-02,1.021,1.024,1.016,1.018,1922100,1955977.0,-0.003,-0.294
517170,2021-06-03 00:00:00,2021-06-03,1.017,1.021,1.01,1.01,918000,933499.0,-0.008,-0.786
517170,2021-06-04 00:00:00,2021-06-04,1.005,1.017,1.005,1.01,630600,637702.0,0.0,0.0
517170,2021-06-07 00:00:00,2021-06-07,1.01,1.01,1.004,1.009,556300,560490.0,-0.001,-0.099
517170,2021-06-08 00:00:00,2021-06-08,1.006,1.011,0.999,0.999,261300,262072.0,-0.01,-0.991
517170,2021-06-09 00:00:00,2021-06-09,1.006,1.006,1.001,1.003,705300,707672.0,0.004,0.4
517170,2021-06-10 00:00:00,2021-06-10,1.011,1.011,1.007,1.007,934100,942715.0,0.004,0.399
517170,2021-06-11 00:00:00,2021-06-11,1.012,1.012,1.004,1.004,386000,388884.0,-0.003,-0.298
517170,2021-06-15 00:00:00,2021-06-15,1.005,1.005,0.996,0.999,691600,691283.0,-0.005,-0.498
517170,2021-06-16 00:00:00,2021-06-16,0.994,0.998,0.989,0.991,1075900,1067245.0,-0.008,-0.801
517170,2021-06-17 00:00:00,2021-06-17,0.99,0.994,0.989,0.994,1502800,1490681.0,0.003,0.303
517170,2021-06-18 00:00:00,2021-06-18,0.993,1.002,0.993,1.002,3969296,3965608.0,0.008,0.805
517170,2021-06-21 00:00:00,2021-06-21,0.998,1.0,0.991,0.993,1458750,1450673.0,-0.009,-0.898
517170,2021-06-22 00:00:00,2021-06-22,0.993,0.995,0.993,0.993,190800,189480.0,0.0,0.0
