stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002312,2009-11-16,44150000,44150000,0,上市前股本
002312,2009-11-24,59150000,47150000,12000000,首发A股上市
002312,2010-03-03,59150000,44150000,15000000,首发限售股份上市
002312,2010-05-20,118300000,88300000,30000000,转增股上市
002312,2010-12-03,118300000,52635000,65665000,首发限售股份上市
002312,2011-05-11,177450000,78952500,98497500,转增股上市
002312,2011-06-30,177450000,79777500,97672500,定期报告
002312,2011-12-31,177450000,78652500,98797500,定期报告
002312,2012-05-28,177450000,78082500,99367500,股份性质变更
002312,2012-05-30,185919500,86552000,99367500,限制性股票
002312,2012-06-30,185919500,85044500,100875000,定期报告
002312,2012-11-28,185919500,80979500,104940000,股份性质变更
002312,2012-12-03,185919500,64419500,121500000,首发限售股份上市
002312,2013-05-28,185919500,63569500,122350000,高管股份变动
002312,2013-05-30,186719500,64369500,122350000,限制性股票
002312,2013-06-26,186719500,62862000,123857500,高管股份变动
002312,2013-06-27,183937150,60079650,123857500,回购
002312,2013-07-08,369856590,120800939,249055651,转增股上市
002312,2013-12-31,369856590,119645555,250211035,高管股份变动
002312,2014-06-13,369856590,114137327,255719263,股权激励限售流通股上市
002312,2014-06-29,369856590,115509279,254347311,股份性质变更
002312,2014-06-30,369631383,115284072,254347311,回购
002312,2014-10-23,442071620,138260331,303811289,配售A股上市
002312,2015-05-22,441729788,137918499,303811289,回购
002312,2015-06-02,773027129,241357373,531669756,转增股上市
002312,2015-06-09,773027129,231409924,541617205,股权激励限售流通股上市
002312,2015-06-30,773027129,231276501,541750628,高管股份变动
002312,2015-11-09,773027129,233841315,539185814,高管股份变动
002312,2015-11-16,918727822,379542008,539185814,增发A股上市
002312,2015-12-31,918727822,379545008,539182814,高管股份变动
002312,2016-07-11,918727822,389061104,529666718,股份性质变更
002312,2016-07-18,1378091733,583591656,794500077,转增股上市
002312,2016-11-15,1378091733,583591656,794500077,股份性质变更
002312,2016-11-17,1378091733,365040616,1013051117,网下配售股份上市
002312,2016-12-31,1378091733,368464265,1009627468,高管股份变动
002312,2017-06-30,1378091733,309789314,1068302419,高管股份变动
002312,2017-09-19,1378091733,295352620,1082739113,高管股份变动
002312,2017-09-21,1404890733,322151620,1082739113,限制性股票
002312,2017-12-31,1404890733,331708675,1073182058,高管股份变动
002312,2018-06-30,1404890733,328267913,1076622820,高管股份变动
002312,2018-07-04,1404890733,301750841,1103139892,高管股份变动
002312,2018-09-10,1404890733,390408638,1014482095,高管股份变动
002312,2018-09-11,1378091733,363609638,1014482095,回购
002312,2018-12-24,1378091733,363712988,1014378745,高管股份变动
002312,2018-12-31,1378091733,390680060,987411673,高管股份变动
002312,2019-06-26,1378091733,29459196,1348632537,高管股份变动
002312,2019-12-31,1378091733,4326580,1373765153,高管股份变动
002312,2020-05-14,1378091733,4084231,1374007502,高管股份变动
002312,2020-05-15,1378091733,53774872,1324316861,限制性股票
002312,2020-12-31,1378091733,53760972,1324330761,高管股份变动
002312,2021-03-02,1378091733,53652109,1324439624,高管股份变动
002312,2021-03-11,1763956933,439517309,1324439624,增发A股上市
002312,2021-06-07,1763956933,439581609,1324375324,高管股份变动
002312,2021-08-27,1763196292,438820968,1324375324,回购
002312,2021-12-31,1763196292,438781268,1324415024,高管股份变动
002312,2022-04-12,1763196292,438306181,1324890111,高管股份变动
002312,2022-05-25,1763196292,416993107,1346203185,股权激励限售流通股上市
002312,2022-05-26,1763196292,416993106,1346203186,高管股份变动
002312,2022-05-27,1768161292,421958106,1346203186,限制性股票
002312,2022-06-30,1768161292,421958106,1346203186,股份性质变更
002312,2022-07-01,1768131292,421928106,1346203186,回购
002312,2022-07-19,1892740144,546536958,1346203186,增发A股上市
002312,2022-09-20,1893946394,547743208,1346203186,限制性股票
002312,2022-12-31,1893946394,547349458,1346596936,股份性质变更
002312,2023-01-17,1893946394,544612102,1349334292,高管股份变动
002312,2023-01-18,1893811394,544477102,1349334292,回购
002312,2023-01-19,1892131394,544477102,1347654292,回购
002312,2023-06-15,1892096394,544442102,1347654292,回购
002312,2023-06-26,1892096394,544554602,1347541792,高管股份变动
002312,2023-06-29,1892096394,526764602,1365331792,股权激励限售流通股上市
002312,2023-10-23,1891956394,526624602,1365331792,回购
002312,2023-12-31,1891956394,526649242,1365307152,高管股份变动
002312,2024-01-19,1891956394,524658929,1367297465,高管股份变动
002312,2024-03-28,1891416394,524118929,1367297465,回购
002312,2024-06-05,1891416394,522401329,1369015065,股权激励限售流通股上市
002312,2024-06-30,1891416394,524499579,1366916815,高管股份变动
002312,2024-08-09,1889338619,522421804,1366916815,回购
002312,2024-09-20,1889338619,136556604,1752782015,其他限售股上市
002312,2024-09-27,1889338619,136100104,1753238515,股权激励限售流通股上市
002312,2024-12-31,1889338619,130615742,1758722877,高管股份变动
002312,2025-06-30,1889338619,130128273,1759210346,高管股份变动
002312,2025-09-22,1889338619,5519421,1883819198,网下配售股份上市
002312,2025-12-29,1887709244,3890046,1883819198,回购
