stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002009,2004-06-14,32554902,,0,上市前股本
002009,2004-06-29,57554902,,25000000,首发A股上市
002009,2005-11-02,57554902,24304902.0,33250000,送股上市
002009,2006-06-23,92087843,38887843.0,53200000,转增股上市
002009,2006-11-02,92087843,28388126.0,63699717,股改限售流通股上市
002009,2007-06-02,92087843,28390126.0,63697717,高管股份变动
002009,2007-06-08,110505411,34068151.0,76437260,送股上市
002009,2007-12-31,110505411,34065751.0,76439660,高管股份变动
002009,2008-03-21,221010822,68131502.0,152879320,"送股上市,转增股上市"
002009,2010-12-15,221010822,,221010822,股改限售流通股上市
002009,2013-05-29,321010822,151098626.0,169912196,增发A股上市
002009,2014-06-04,321010822,61098626.0,259912196,网下配售股份上市
002009,2015-11-26,364825529,104913333.0,259912196,增发A股上市
002009,2015-12-31,364825529,102413333.0,262412196,股份性质变更
002009,2016-10-25,370549434,108137238.0,262412196,增发A股上市
002009,2016-12-12,370549434,104585472.0,265963962,网下配售股份上市
002009,2017-06-30,370549434,99129604.0,271419830,股份性质变更
002009,2017-11-03,370549434,89129604.0,281419830,网下配售股份上市
002009,2018-06-30,370549434,99129604.0,271419830,高管股份变动
002009,2018-12-07,370549434,114726933.0,255822501,高管股份变动
002009,2018-12-10,370549434,74463992.0,296085442,网下配售股份上市
002009,2018-12-31,370549434,78492634.0,292056800,高管股份变动
002009,2019-06-30,370549434,58870412.0,311679022,高管股份变动
002009,2019-12-31,370549434,5727655.0,364821779,股份性质变更
002009,2020-03-09,370549434,3750.0,370545684,网下配售股份上市
002009,2020-06-30,370549434,571875.0,369977559,高管股份变动
002009,2021-06-30,370549434,605625.0,369943809,高管股份变动
002009,2021-11-09,370549434,571875.0,369977559,高管股份变动
002009,2021-11-10,379299434,9321875.0,369977559,限制性股票
002009,2021-12-31,379299434,9321875.0,369977559,股份性质变更
002009,2022-06-30,379299434,9123050.0,370176384,高管股份变动
002009,2022-10-26,380719434,10543050.0,370176384,限制性股票
002009,2022-11-16,380719434,8628125.0,372091309,股权激励限售流通股上市
002009,2022-12-31,380719434,8628125.0,372091309,股份性质变更
002009,2023-03-31,380719434,8578681.0,372140753,高管股份变动
002009,2023-06-26,380641934,8501181.0,372140753,回购
002009,2023-10-31,407766707,35625954.0,372140753,增发A股上市
002009,2023-11-09,407766707,35289454.0,372477253,股权激励限售流通股上市
002009,2023-11-22,407766707,34294629.0,373472078,股权激励限售流通股上市
002009,2023-12-31,407766707,34264629.0,373502078,股份性质变更
002009,2024-02-26,407766707,34159479.0,373607228,高管股份变动
002009,2024-05-14,407766707,7034706.0,400732001,网下配售股份上市
002009,2024-06-04,402233207,1501206.0,400732001,"回购,股份性质变更"
002009,2024-06-30,402233207,1708700.0,400524507,高管股份变动
002009,2024-12-31,402233207,48648219.0,353584988,高管股份变动
002009,2025-06-24,402233207,48110638.0,354122569,高管股份变动
002009,2025-12-29,402233207,48185638.0,354047569,高管股份变动
