stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002709,2000-06-19,6000000,0,0,公司成立
002709,2007-08-04,80000000,0,0,增资
002709,2010-09-08,98800000,98800000,0,上市前股本
002709,2014-01-13,120413200,90308200,30105000,首发A股上市
002709,2015-01-23,120413200,63705413,56707787,首发限售股份上市
002709,2015-09-29,120413200,63537584,56875616,高管股份变动
002709,2015-09-30,122548700,65673084,56875616,限制性股票
002709,2015-11-11,130005842,73130226,56875616,增发A股上市
002709,2016-04-06,130005842,72748255,57257587,其他变动原因
002709,2016-04-07,130143842,72886255,57257587,限制性股票
002709,2016-05-13,325359605,182215637,143143968,转增股上市
002709,2016-06-30,325359605,182217137,143142468,股份性质变更
002709,2016-09-30,325359605,180850087,144509518,股权激励限售流通股上市
002709,2016-11-14,325359605,162207232,163152373,"网下配售股份上市,股份性质变更"
002709,2016-11-18,325359605,162291345,163068260,高管股份变动
002709,2016-11-21,325041305,161973045,163068260,回购
002709,2017-01-23,325041305,112640820,212400485,首发限售股份上市
002709,2017-02-10,325041305,146018529,179022776,股份性质变更
002709,2017-04-21,325041305,145846029,179195276,股权激励限售流通股上市
002709,2017-08-01,339962016,160766740,179195276,增发A股上市
002709,2017-09-08,339962016,152801801,187160215,高管股份变动
002709,2017-10-09,339962016,151365438,188596578,股权激励限售流通股上市
002709,2017-12-05,339962016,151345901,188616115,高管股份变动
002709,2017-12-06,339667541,151051426,188616115,回购
002709,2017-12-31,339667541,160070328,179597213,高管股份变动
002709,2018-05-03,339667541,160340140,179327401,股份性质变更
002709,2018-05-08,339667541,160227765,179439776,股权激励限售流通股上市
002709,2018-06-30,339667541,159623952,180043589,高管股份变动
002709,2018-08-02,339667541,145449276,194218265,网下配售股份上市
002709,2018-10-09,339667541,144134136,195533405,股权激励限售流通股上市
002709,2018-12-18,339667541,135449235,204218306,高管股份变动
002709,2018-12-19,339469681,135251375,204218306,回购
002709,2018-12-31,339469681,144374201,195095480,高管股份变动
002709,2019-01-21,339469681,135251375,204218306,高管股份变动
002709,2019-01-23,339469681,746035,338723646,其他限售股上市
002709,2019-03-22,342702681,3979035,338723646,限制性股票
002709,2019-06-30,342702681,113855996,228846685,高管股份变动
002709,2019-07-03,548324289,182169593,366154696,转增股上市
002709,2019-12-31,548324289,181180909,367143380,高管股份变动
002709,2020-03-02,548324289,6366456,541957833,股份性质变更
002709,2020-03-03,548517289,6559456,541957833,限制性股票
002709,2020-06-30,548517289,183228995,365288294,高管股份变动
002709,2020-07-10,546129449,4171616,541957833,回购
002709,2020-08-03,546129449,2977960,543151489,网下配售股份上市
002709,2020-12-31,546129449,167148476,378980973,高管股份变动
002709,2021-04-27,928420063,284152409,644267654,送股上市
002709,2021-05-13,928420063,5062532,923357531,高管股份变动
002709,2021-05-14,928420063,2834818,925585245,股权激励限售流通股上市
002709,2021-06-09,952909879,27324634,925585245,增发A股上市
002709,2021-06-30,955578705,293624891,661953814,"自主行权,高管股份变动"
002709,2021-08-04,955231905,293278091,661953814,回购
002709,2021-08-24,955251627,293278091,661973536,自主行权
002709,2021-12-15,955251627,268788275,686463352,网下配售股份上市
002709,2021-12-24,955251627,26977834,928273793,股份性质变更
002709,2021-12-27,959825277,31551484,928273793,限制性股票
002709,2021-12-31,959825277,273485575,686339702,高管股份变动
002709,2022-03-22,959825277,7061668,952763609,股份性质变更
002709,2022-04-01,962549241,7061668,955487573,期权行权
002709,2022-04-08,962549241,4749955,957799286,股权激励限售流通股上市
002709,2022-04-29,962372936,4573650,957799286,回购
002709,2022-05-16,1924745872,9147300,1915598572,转增股上市
002709,2022-06-30,1924745872,537917990,1386827882,高管股份变动
002709,2022-09-06,1926656122,539828240,1386827882,限制性股票
002709,2022-09-07,1926656122,545252540,1381403582,限制性股票
002709,2023-03-28,1926656122,545204541,1381451581,高管股份变动
002709,2023-03-31,1926658395,545204541,1381453854,债转股上市
002709,2023-04-17,1926658395,542588307,1384070088,股权激励限售流通股上市
002709,2023-05-07,1926661042,542588307,1384072735,债转股上市
002709,2023-05-30,1926661516,542753929,1383907587,"债转股上市,高管股份变动"
002709,2023-05-31,1925333110,541425523,1383907587,回购
002709,2023-06-30,1925333484,541425523,1383907961,债转股上市
002709,2023-09-15,1925333484,539880777,1385452707,股权激励限售流通股上市
002709,2023-09-28,1925334117,540134677,1385199440,"债转股上市,高管股份变动"
002709,2023-10-23,1925334258,540134677,1385199581,债转股上市
002709,2023-10-24,1924156460,538956879,1385199581,回购
002709,2023-11-30,1924156706,538956879,1385199827,债转股上市
002709,2023-12-29,1924156740,539269962,1384886778,"债转股上市,高管股份变动"
002709,2023-12-31,1924156740,539157462,1384999278,高管股份变动
002709,2024-03-29,1924156986,539141462,1385015524,"债转股上市,高管股份变动"
002709,2024-05-10,1918823609,533808085,1385015524,回购
002709,2024-06-28,1918823740,533808085,1385015655,债转股上市
002709,2024-09-30,1918824157,533808085,1385016072,债转股上市
002709,2024-11-13,1918824915,533808085,1385016830,债转股上市
002709,2024-12-31,1918825051,533808160,1385016891,"债转股上市,高管股份变动"
002709,2025-02-12,1914343762,529326871,1385016891,回购
002709,2025-03-31,1914344077,529439596,1384904481,"债转股上市,高管股份变动"
002709,2025-05-13,1914344111,529439596,1384904515,债转股上市
002709,2025-06-30,1914344146,529439596,1384904550,债转股上市
002709,2025-09-30,1914356799,529439596,1384917203,债转股上市
002709,2025-10-31,1917456338,529439596,1388016742,债转股上市
002709,2025-11-07,1959711310,529439596,1430271714,债转股上市
002709,2025-11-14,2001388551,529439596,1471948955,债转股上市
002709,2025-11-30,2033218960,529439596,1503779364,债转股上市
002709,2025-12-02,2033891587,529443640,1504447947,"债转股上市,高管股份变动"
002709,2026-03-27,2033891587,529550725,1504340862,高管股份变动
002709,2026-03-30,2038561744,529550725,1509011019,期权行权
