stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002248,2008-05-26,90000000,90000000.0,0,上市前股本
002248,2008-06-03,120000000,96000000.0,24000000,首发A股上市
002248,2008-09-12,120000000,90000000.0,30000000,首发限售股份上市
002248,2010-04-19,128747800,90000000.0,38747800,增发A股上市
002248,2010-08-24,257495600,180000000.0,77495600,转增股上市
002248,2010-12-31,257495600,180103900.0,77391700,高管股份变动
002248,2011-06-15,257495600,72736031.0,184759569,首发限售股份上市
002248,2012-06-30,257495600,54577998.0,202917602,定期报告
002248,2014-02-24,307495600,104577998.0,202917602,增发A股上市
002248,2015-06-30,307495600,85867285.0,221628315,高管股份变动
002248,2015-12-31,307495600,94445570.0,213050030,高管股份变动
002248,2016-06-30,307495600,70659208.0,236836392,高管股份变动
002248,2016-12-31,307495600,67156571.0,240339029,高管股份变动
002248,2017-04-17,307495600,17156571.0,290339029,网下配售股份上市
002248,2017-06-30,307495600,,307495600,高管股份变动
002248,2018-06-30,307495600,10875022.0,296620578,高管股份变动
002248,2018-12-31,307495600,10873022.0,296622578,高管股份变动
002248,2019-06-30,307495600,14497363.0,292998237,高管股份变动
002248,2019-12-31,307495600,10873022.0,296622578,高管股份变动
002248,2020-12-31,307495600,10875272.0,296620328,高管股份变动
002248,2021-06-30,307495600,9811632.0,297683968,高管股份变动
002248,2021-12-31,307495600,,307495600,高管股份变动
