stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002318,2009-11-23,120000000,120000000,0,上市前股本
002318,2009-12-01,160000000,128000000,32000000,首发A股上市
002318,2010-03-11,160000000,120000000,40000000,首发限售股份上市
002318,2010-05-12,208000000,156000000,52000000,转增股上市
002318,2010-12-13,208000000,102268153,105731847,首发限售股份上市
002318,2011-06-30,208000000,101968153,106031847,定期报告
002318,2011-12-31,208000000,102340335,105659665,定期报告
002318,2012-04-25,312000000,153510502,158489498,转增股上市
002318,2012-06-30,312000000,151435335,160564665,定期报告
002318,2012-12-11,312000000,17086142,294913858,首发限售股份上市
002318,2013-06-30,312000000,15069594,296930406,高管股份变动
002318,2014-06-30,312000000,14161604,297838396,高管股份变动
002318,2014-09-30,312000981,14161604,297839377,债转股上市
002318,2014-11-05,313519199,14161604,299357595,债转股上市
002318,2014-12-11,318579927,14161604,304418323,债转股上市
002318,2014-12-24,336602373,14161604,322440769,债转股上市
002318,2014-12-31,336602373,14213891,322388482,高管股份变动
002318,2015-06-30,336602373,12933900,323668473,高管股份变动
002318,2015-10-14,336602373,12941400,323660973,高管股份变动
002318,2015-10-21,841505932,32353500,809152432,转增股上市
002318,2016-06-30,841505932,25204681,816301251,高管股份变动
002318,2016-12-31,841505932,25467631,816038301,高管股份变动
002318,2017-12-31,841505932,27115748,814390184,高管股份变动
002318,2018-05-15,841507360,27115748,814391612,债转股上市
002318,2018-05-16,841508517,27115748,814392769,债转股上市
002318,2018-05-17,841508636,27115748,814392888,债转股上市
002318,2018-05-21,841509328,27115748,814393580,债转股上市
002318,2018-05-22,841510331,27115748,814394583,债转股上市
002318,2018-05-24,841510450,27115748,814394702,债转股上市
002318,2018-05-25,841510569,27115748,814394821,债转股上市
002318,2018-06-04,841514460,27115748,814398712,债转股上市
002318,2018-06-05,841514702,27115748,814398954,债转股上市
002318,2018-06-07,841515077,27115748,814399329,债转股上市
002318,2018-06-08,841515198,27115748,814399450,债转股上市
002318,2018-06-15,841518300,27115748,814402552,债转股上市
002318,2018-06-29,841518300,20748280,820770020,高管股份变动
002318,2018-07-09,841518421,20748280,820770141,债转股上市
002318,2018-07-11,841519637,20748280,820771357,债转股上市
002318,2018-07-13,841519879,20748280,820771599,债转股上市
002318,2018-09-03,841520000,20748280,820771720,债转股上市
002318,2018-09-13,841520060,20748280,820771780,债转股上市
002318,2018-10-17,841520084,20748280,820771804,债转股上市
002318,2018-12-31,841520326,20748280,820772046,债转股上市
002318,2019-03-29,841528288,23790055,817738233,"债转股上市,高管股份变动"
002318,2019-04-09,841530925,23790055,817740870,债转股上市
002318,2019-04-28,841532860,23790055,817742805,债转股上市
002318,2019-06-28,841533187,23790055,817743132,债转股上市
002318,2019-09-30,841533475,23790055,817743420,债转股上市
002318,2019-12-31,841537803,23790055,817747748,债转股上市
002318,2020-03-31,841540639,23796155,817744484,"债转股上市,高管股份变动"
002318,2020-06-30,841540765,23513530,818027235,"债转股上市,高管股份变动"
002318,2020-09-30,841542441,23513530,818028911,债转股上市
002318,2020-12-04,925422664,23513530,901909134,债转股上市
002318,2020-12-07,930808737,23513530,907295207,债转股上市
002318,2020-12-31,964548767,23666980,940881787,"债转股上市,高管股份变动"
002318,2021-01-06,977170720,23666980,953503740,债转股上市
002318,2021-06-30,977170720,23822580,953348140,高管股份变动
002318,2021-12-31,977170720,23666980,953503740,高管股份变动
002318,2022-06-30,977170720,23352167,953818553,高管股份变动
002318,2023-06-30,977170720,22302973,954867747,高管股份变动
002318,2023-10-27,977170720,22893992,954276728,高管股份变动
002318,2024-06-30,977170720,22408798,954761922,高管股份变动
002318,2025-06-30,977170720,22212992,954957728,高管股份变动
002318,2025-12-31,977170720,22569523,954601197,高管股份变动
002318,2026-03-25,977170720,22481871,954688849,高管股份变动
