stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002037,2004-08-24,70000000,,0,上市前股本
002037,2004-09-08,110000000,,40000000,首发A股上市
002037,2005-10-28,110000000,56801729.0,53198271,送股上市
002037,2006-10-30,110000000,45132818.0,64867182,股改限售流通股上市
002037,2007-07-26,110000000,39632818.0,70367182,股改限售流通股上市
002037,2008-06-20,121000000,43596100.0,77403900,转增股上市
002037,2009-05-27,133100000,47955710.0,85144290,转增股上市
002037,2009-11-13,133100000,0.0,133100000,股改限售流通股上市
002037,2010-05-13,173030000,0.0,173030000,转增股上市
002037,2012-07-09,204605100,31575100.0,173030000,增发A股上市
002037,2012-12-31,204605100,31575100.0,173030000,定期报告
002037,2013-06-07,327368160,50520160.0,276848000,转增股上市
002037,2013-07-09,327368160,,327368160,网下配售股份上市
002037,2018-12-25,487625309,258467549.0,229157760,"增发A股上市,股份性质变更"
002037,2018-12-31,487625309,160257149.0,327368160,股份性质变更
002037,2019-06-30,487625309,160257149.0,327368160,股份性质变更
002037,2022-04-18,483883566,156515406.0,327368160,回购
002037,2022-07-06,483883566,,483883566,网下配售股份上市
