stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002715,2012-03-23,69000000,69000000,,上市前股本
002715,2014-02-11,92000000,69000000,23000000.0,首发A股上市
002715,2015-02-25,92000000,39889118,52110882.0,首发限售股份上市
002715,2015-06-30,92000000,39889116,52110884.0,高管股份变动
002715,2015-12-31,92000000,39905859,52094141.0,高管股份变动
002715,2016-03-01,92000000,38218359,53781641.0,首发限售股份上市
002715,2016-06-30,92000000,37945475,54054525.0,高管股份变动
002715,2017-06-30,92000000,37749300,54250700.0,高管股份变动
002715,2017-10-12,92000000,37425863,54574137.0,首发限售股份上市
002715,2017-12-21,92000000,22983181,69016819.0,首发限售股份上市
002715,2017-12-31,92000000,22947325,69052675.0,高管股份变动
002715,2018-03-20,92000000,14648696,77351304.0,首发限售股份上市
002715,2018-06-30,92000000,9035705,82964295.0,高管股份变动
002715,2019-06-30,92000000,6808043,85191957.0,高管股份变动
002715,2019-12-31,92000000,5137296,86862704.0,高管股份变动
002715,2020-09-25,138000000,7705944,130294056.0,转增股上市
002715,2020-12-31,138000000,7768471,130231529.0,高管股份变动
002715,2021-06-30,138000000,0,138000000.0,高管股份变动
