stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
003026,2014-10-21,50300000,50300000,,新三板上市
003026,2015-01-29,54600000,50300000,4300000.0,增发A股上市
003026,2015-10-29,54600000,32298825,22301175.0,首发限售股份上市
003026,2016-03-22,67100000,44798825,22301175.0,增发A股上市
003026,2016-05-20,74813000,44798825,30014175.0,增发A股上市
003026,2016-07-27,74813000,45440075,29372925.0,高管股份变动
003026,2017-05-19,74813000,32940075,41872925.0,网下配售股份上市
003026,2019-06-21,74813000,74813000,,上市前股本
003026,2020-06-29,74813000,74813000,,上市前股本
003026,2020-12-09,99760000,74813000,24947000.0,首发A股上市
003026,2021-12-20,99760000,37465100,62294900.0,首发限售股份上市
003026,2021-12-31,99760000,45148775,54611225.0,高管股份变动
003026,2022-06-30,99760000,44502742,55257258.0,高管股份变动
003026,2022-07-22,100967880,45710622,55257258.0,限制性股票
003026,2022-09-28,101017880,45760622,55257258.0,限制性股票
003026,2023-04-28,101017880,45335910,55681970.0,高管股份变动
003026,2023-06-19,100633516,44951546,55681970.0,回购
003026,2023-12-19,100633516,35585271,65048245.0,首发限售股份上市
003026,2024-02-06,100633516,35596521,65036995.0,高管股份变动
003026,2024-04-29,100633516,38798683,61834833.0,高管股份变动
003026,2024-07-10,100231152,38396319,61834833.0,回购
003026,2024-07-18,130231497,49915214,80316283.0,转增股上市
003026,2024-12-31,130231497,33419972,96811525.0,高管股份变动
003026,2025-04-29,130231497,33434597,96796900.0,高管股份变动
003026,2025-06-23,130231497,34536185,95695312.0,高管股份变动
003026,2025-06-24,129619000,33923688,95695312.0,回购
003026,2025-12-31,129619000,32828600,96790400.0,高管股份变动
