stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002949,2015-12-31,126500000,126500000,,其他变动原因
002949,2016-04-18,126500000,126500000,,新三板上市
002949,2016-06-28,132350000,126500000,5850000.0,增发A股上市
002949,2016-11-18,132350000,90408334,41941666.0,首发限售股份上市
002949,2017-03-28,139850000,90408334,49441666.0,增发A股上市
002949,2018-07-13,147000000,147000000,,上市前股本
002949,2019-02-13,196030000,147000000,49030000.0,首发A股上市
002949,2020-02-26,196030000,100878000,95152000.0,首发限售股份上市
002949,2020-06-30,196030000,109683000,86347000.0,股份性质变更
002949,2020-09-14,196030000,102533000,93497000.0,首发限售股份上市
002949,2021-03-31,196030977,102533000,93497977.0,债转股上市
002949,2021-05-14,196034481,102533000,93501481.0,债转股上市
002949,2021-06-30,196034861,102533000,93501861.0,债转股上市
002949,2021-09-30,196035111,102533000,93502111.0,债转股上市
002949,2021-12-31,196035381,102805500,93229881.0,"债转股上市,高管股份变动"
002949,2022-02-23,196035655,102805500,93230155.0,债转股上市
002949,2022-02-28,196035655,9077500,186958155.0,首发限售股份上市
002949,2022-03-31,196036572,48004750,148031822.0,"债转股上市,高管股份变动"
002949,2022-05-11,196036611,48004750,148031861.0,债转股上市
002949,2022-06-30,196037641,47802250,148235391.0,债转股上市
002949,2022-09-30,196038235,47802250,148235985.0,债转股上市
002949,2022-12-30,196038235,46914750,149123485.0,高管股份变动
002949,2023-03-31,196039516,46903500,149136016.0,"债转股上市,高管股份变动"
002949,2023-05-11,196039555,46903500,149136055.0,债转股上市
002949,2023-06-20,196039594,46903500,149136094.0,债转股上市
002949,2023-06-30,196039594,46932825,149106769.0,高管股份变动
002949,2023-12-29,196040562,46932825,149107737.0,债转股上市
002949,2024-03-29,196040602,46501875,149538727.0,"债转股上市,高管股份变动"
002949,2024-06-28,196040643,46501875,149538768.0,债转股上市
002949,2024-12-31,196041766,46501875,149539891.0,债转股上市
002949,2025-03-31,196042689,46066875,149975814.0,"债转股上市,高管股份变动"
002949,2025-05-20,196042743,46066875,149975868.0,债转股上市
002949,2025-06-30,196042743,44161575,151881168.0,高管股份变动
002949,2025-09-30,196043864,44161575,151882289.0,债转股上市
002949,2026-03-31,196047338,44161575,151885763.0,债转股上市
