stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002291,2009-08-18,160000000,160000000.0,0,上市前股本
002291,2009-08-26,215000000,171000000.0,44000000,首发A股上市
002291,2009-12-03,215000000,160000000.0,55000000,网下配售股份上市
002291,2010-04-16,279500000,208000000.0,71500000,送股上市
002291,2010-09-03,279500000,186160000.0,93340000,首发限售股份上市
002291,2011-04-29,363350000,242008000.0,121342000,转增股上市
002291,2012-09-03,363350000,0.0,363350000,首发限售股份上市
002291,2015-06-26,398921895,35571895.0,363350000,增发A股上市
002291,2018-07-02,398921895,36136023.0,362785872,高管股份变动
002291,2018-07-06,398921895,2200436.0,396721459,网下配售股份上市
002291,2018-12-31,398921895,,398921895,高管股份变动
002291,2019-04-10,658813336,259891441.0,398921895,增发A股上市
002291,2019-12-20,738487091,339565196.0,398921895,增发A股上市
002291,2020-04-23,738487091,340907870.0,397579221,高管股份变动
002291,2020-04-27,738487091,203826605.0,534660486,网下配售股份上市
002291,2020-06-30,738487091,202483931.0,536003160,高管股份变动
002291,2020-12-31,738487091,203775788.0,534711303,高管股份变动
002291,2021-01-07,738487091,124102033.0,614385058,网下配售股份上市
002291,2021-04-28,738487091,123817212.0,614669879,高管股份变动
002291,2021-04-30,743803523,129133644.0,614669879,限制性股票
002291,2021-10-08,909841215,295171336.0,614669879,增发A股上市
002291,2022-03-03,909749775,295079896.0,614669879,回购
002291,2022-04-14,909749775,294984614.0,614765161,高管股份变动
002291,2022-04-19,909749775,128946922.0,780802853,网下配售股份上市
002291,2022-05-16,909749775,71188751.0,838561024,网下配售股份上市
002291,2022-06-30,910761087,71188751.0,839572336,自主行权
002291,2022-07-01,911020689,71188751.0,839831938,自主行权
002291,2022-07-13,911020689,68642095.0,842378594,股权激励限售流通股上市
002291,2022-07-28,911198954,68642095.0,842556859,自主行权
002291,2022-09-13,911309081,68636695.0,842672386,"高管股份变动,自主行权"
002291,2022-09-14,911230601,68558215.0,842672386,回购
002291,2022-12-14,911263304,68558215.0,842705089,自主行权
002291,2022-12-31,911263304,68329539.0,842933765,高管股份变动
002291,2023-03-20,911411737,68329539.0,843082198,自主行权
002291,2023-05-05,911411737,54679539.0,856732198,高管股份变动
002291,2023-06-05,911348337,54616139.0,856732198,回购
002291,2023-06-07,930658687,54616139.0,876042548,自主行权
002291,2023-07-12,930658687,53138893.0,877519794,股权激励限售流通股上市
002291,2023-12-21,930658687,53151853.0,877506834,高管股份变动
002291,2023-12-22,930604260,53097426.0,877506834,回购
002291,2024-05-28,930593412,53086578.0,877506834,回购
002291,2024-06-30,930593412,53097378.0,877496034,高管股份变动
002291,2024-08-07,930593412,52935211.0,877658201,股权激励限售流通股上市
002291,2024-12-31,930593412,52924411.0,877669001,高管股份变动
002291,2025-03-07,929777844,52108843.0,877669001,回购
002291,2025-05-07,944112844,66443843.0,877669001,限制性股票
002291,2025-08-01,935545353,66443843.0,869101510,回购
002291,2025-11-11,935545353,66420083.0,869125270,高管股份变动
002291,2026-01-28,935130353,66005083.0,869125270,回购
