stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002995,2017-03-17,45000000,45000000,,上市前股本
002995,2019-04-12,48500000,48500000,,上市前股本
002995,2020-07-22,64670000,48500000,16170000.0,首发A股上市
002995,2021-06-04,90538000,67900000,22638000.0,转增股上市
002995,2021-08-09,90538000,49965027,40572973.0,首发限售股份上市
002995,2021-09-22,91371000,50798027,40572973.0,限制性股票
002995,2022-01-28,91371000,50116227,41254773.0,首发限售股份上市
002995,2022-06-07,127919400,70162718,57756682.0,转增股上市
002995,2022-09-05,126753200,68996518,57756682.0,回购
002995,2023-06-05,177454480,96595125,80859355.0,转增股上市
002995,2023-06-30,177454480,96595125,80859355.0,股份性质变更
002995,2023-08-07,177454480,65037272,112417208.0,"首发限售股份上市,股份性质变更"
