fund_code,trade_time,trade_date,open,high,low,close,volume,amount,change,change_pct
159227,2025-05-16 00:00:00,2025-05-16,0.993,1.005,0.982,0.99,28751493,28602418.0,,
159227,2025-05-19 00:00:00,2025-05-19,0.99,1.0,0.978,0.997,21912030,21772444.0,0.007,0.707
159227,2025-05-20 00:00:00,2025-05-20,0.997,0.997,0.988,0.991,11926960,11811338.7,-0.006,-0.602
159227,2025-05-21 00:00:00,2025-05-21,0.991,0.995,0.986,0.99,11644769,11523402.2,-0.001,-0.101
159227,2025-05-22 00:00:00,2025-05-22,0.991,1.01,0.988,0.995,60799650,60980003.0,0.005,0.505
159227,2025-05-23 00:00:00,2025-05-23,0.988,0.996,0.984,0.986,14740477,14582085.0,-0.009,-0.905
159227,2025-05-26 00:00:00,2025-05-26,0.985,0.99,0.98,0.989,14303729,14116423.0,0.003,0.304
159227,2025-05-27 00:00:00,2025-05-27,0.994,0.994,0.978,0.99,23060641,22700695.0,0.001,0.101
159227,2025-05-28 00:00:00,2025-05-28,0.989,0.992,0.981,0.985,18128706,17879493.0,-0.005,-0.505
159227,2025-05-29 00:00:00,2025-05-29,0.982,1.007,0.98,1.006,58755181,58846292.0,0.021,2.132
159227,2025-05-30 00:00:00,2025-05-30,1.006,1.017,1.0,1.013,78580154,79435002.0,0.007,0.696
159227,2025-06-03 00:00:00,2025-06-03,1.016,1.027,1.004,1.009,51487815,52360036.0,-0.004,-0.395
159227,2025-06-04 00:00:00,2025-06-04,1.005,1.011,1.004,1.007,11761464,11846714.7,-0.002,-0.198
159227,2025-06-05 00:00:00,2025-06-05,1.007,1.011,0.997,1.008,19390618,19450412.0,0.001,0.099
159227,2025-06-06 00:00:00,2025-06-06,1.008,1.02,1.005,1.006,33928173,34325809.0,-0.002,-0.198
159227,2025-06-09 00:00:00,2025-06-09,1.015,1.036,1.011,1.024,100020772,102662474.0,0.018,1.789
159227,2025-06-10 00:00:00,2025-06-10,1.025,1.025,1.001,1.009,63722835,64468005.0,-0.015,-1.465
159227,2025-06-11 00:00:00,2025-06-11,1.009,1.016,1.008,1.015,18266880,18493110.0,0.006,0.595
159227,2025-06-12 00:00:00,2025-06-12,1.015,1.015,1.004,1.006,20997803,21187657.0,-0.009,-0.887
159227,2025-06-13 00:00:00,2025-06-13,1.013,1.032,1.007,1.025,41702583,42470687.0,0.019,1.889
159227,2025-06-16 00:00:00,2025-06-16,1.029,1.032,1.012,1.026,31512189,32294610.0,0.001,0.098
159227,2025-06-17 00:00:00,2025-06-17,1.026,1.032,1.014,1.026,26122940,26661529.0,0.0,0.0
159227,2025-06-18 00:00:00,2025-06-18,1.03,1.05,1.025,1.038,46502499,48225466.0,0.012,1.17
159227,2025-06-19 00:00:00,2025-06-19,1.037,1.039,1.008,1.022,60128571,61224865.0,-0.016,-1.541
159227,2025-06-20 00:00:00,2025-06-20,1.015,1.019,1.004,1.006,45549942,46000956.0,-0.016,-1.566
159227,2025-06-23 00:00:00,2025-06-23,1.007,1.021,1.007,1.02,42982358,43634641.0,0.014,1.392
159227,2025-06-24 00:00:00,2025-06-24,1.006,1.026,1.001,1.021,52877781,53766554.0,0.001,0.098
159227,2025-06-25 00:00:00,2025-06-25,1.022,1.057,1.018,1.056,78605583,82166691.0,0.035,3.428
159227,2025-06-26 00:00:00,2025-06-26,1.057,1.089,1.056,1.064,70768384,76162916.0,0.008,0.758
