fund_code,trade_time,trade_date,open,high,low,close,volume,amount,change,change_pct
562500,2021-12-29 00:00:00,2021-12-29,1.0,1.001,0.984,0.988,85243550,84528415.0,,
562500,2021-12-30 00:00:00,2021-12-30,0.988,0.998,0.988,0.993,27276600,27147213.0,0.005,0.506
562500,2021-12-31 00:00:00,2021-12-31,0.993,1.0,0.992,0.993,2325200,2312611.0,0.0,0.0
562500,2022-01-04 00:00:00,2022-01-04,0.998,0.999,0.983,0.987,4707150,4652874.0,-0.006,-0.604
562500,2022-01-05 00:00:00,2022-01-05,0.987,0.987,0.951,0.955,9300800,8962579.0,-0.032,-3.242
562500,2022-01-06 00:00:00,2022-01-06,0.955,0.961,0.938,0.957,4298600,4087568.0,0.002,0.209
562500,2022-01-07 00:00:00,2022-01-07,0.957,0.967,0.94,0.945,2950900,2806945.0,-0.012,-1.254
562500,2022-01-10 00:00:00,2022-01-10,0.943,0.96,0.931,0.943,1201600,1130827.0,-0.002,-0.212
562500,2022-01-11 00:00:00,2022-01-11,0.949,0.95,0.931,0.936,2841500,2672092.0,-0.007,-0.742
562500,2022-01-12 00:00:00,2022-01-12,0.936,0.953,0.936,0.952,6928200,6548920.0,0.016,1.709
562500,2022-01-13 00:00:00,2022-01-13,0.953,0.953,0.935,0.938,1754300,1652390.0,-0.014,-1.471
562500,2022-01-14 00:00:00,2022-01-14,0.936,0.94,0.922,0.929,12035000,11176462.0,-0.009,-0.959
562500,2022-01-17 00:00:00,2022-01-17,0.934,0.955,0.93,0.953,4974500,4702694.0,0.024,2.583
562500,2022-01-18 00:00:00,2022-01-18,0.964,0.966,0.945,0.957,4799900,4604411.0,0.004,0.42
562500,2022-01-19 00:00:00,2022-01-19,0.957,0.962,0.941,0.944,1199500,1139136.0,-0.013,-1.358
562500,2022-01-20 00:00:00,2022-01-20,0.948,0.951,0.937,0.941,3221400,3037185.0,-0.003,-0.318
562500,2022-01-21 00:00:00,2022-01-21,0.931,0.964,0.924,0.927,3607800,3355418.0,-0.014,-1.488
562500,2022-01-24 00:00:00,2022-01-24,0.92,0.966,0.92,0.925,3450100,3196944.0,-0.002,-0.216
562500,2022-01-25 00:00:00,2022-01-25,0.926,0.94,0.897,0.904,5350100,4867981.0,-0.021,-2.27
