fund_code,trade_time,trade_date,open,high,low,close,volume,amount,change,change_pct
530530,2025-08-29 00:00:00,2025-08-29,1.005,1.009,0.995,1.004,30147900,30188873.0,,
530530,2025-09-01 00:00:00,2025-09-01,1.003,1.017,1.003,1.013,63468800,64168881.0,0.009,0.896
530530,2025-09-02 00:00:00,2025-09-02,1.014,1.014,0.988,0.993,21249100,21194256.0,-0.02,-1.974
530530,2025-09-03 00:00:00,2025-09-03,0.992,0.999,0.978,0.98,6686000,6603004.0,-0.013,-1.309
530530,2025-09-04 00:00:00,2025-09-04,0.971,0.988,0.944,0.954,8403700,8123161.0,-0.026,-2.653
530530,2025-09-05 00:00:00,2025-09-05,0.954,0.982,0.954,0.981,11446000,11096034.0,0.027,2.83
530530,2025-09-08 00:00:00,2025-09-08,0.982,0.988,0.948,0.987,2536100,2485633.0,0.006,0.612
530530,2025-09-09 00:00:00,2025-09-09,0.986,0.986,0.968,0.972,2635500,2578127.0,-0.015,-1.52
530530,2025-09-10 00:00:00,2025-09-10,0.972,0.982,0.968,0.972,2727800,2658732.0,0.0,0.0
530530,2025-09-11 00:00:00,2025-09-11,0.975,1.0,0.966,1.0,11773100,11687937.0,0.028,2.881
530530,2025-09-12 00:00:00,2025-09-12,1.008,1.011,0.996,1.006,27094300,27300478.0,0.006,0.6
530530,2025-09-15 00:00:00,2025-09-15,1.006,1.01,1.002,1.005,9744100,9811504.0,-0.001,-0.099
530530,2025-09-16 00:00:00,2025-09-16,1.004,1.013,0.998,1.013,20159600,20356348.0,0.008,0.796
530530,2025-09-17 00:00:00,2025-09-17,1.018,1.023,1.009,1.02,47835100,48740295.0,0.007,0.691
530530,2025-09-18 00:00:00,2025-09-18,1.024,1.041,1.003,1.016,49818500,51301244.0,-0.004,-0.392
530530,2025-09-19 00:00:00,2025-09-19,1.016,1.019,1.003,1.008,4780200,4835427.0,-0.008,-0.787
530530,2025-09-22 00:00:00,2025-09-22,1.006,1.013,1.002,1.013,5416900,5465266.0,0.005,0.496
530530,2025-09-23 00:00:00,2025-09-23,1.013,1.015,0.983,0.999,4384399,4361612.0,-0.014,-1.382
530530,2025-09-24 00:00:00,2025-09-24,1.0,1.019,0.997,1.019,9538900,9665491.0,0.02,2.002
530530,2025-09-25 00:00:00,2025-09-25,1.019,1.02,1.012,1.013,3643100,3706561.0,-0.006,-0.589
530530,2025-09-26 00:00:00,2025-09-26,1.013,1.013,0.998,1.0,2114001,2124329.0,-0.013,-1.283
530530,2025-09-29 00:00:00,2025-09-29,0.994,1.01,0.994,1.01,3598600,3626007.0,0.01,1.0
530530,2025-09-30 00:00:00,2025-09-30,1.003,1.025,1.003,1.021,9930200,10136693.0,0.011,1.089
530530,2025-10-09 00:00:00,2025-10-09,1.028,1.034,1.02,1.03,11648200,11980302.0,0.009,0.881
530530,2025-10-10 00:00:00,2025-10-10,1.021,1.025,1.013,1.016,2730600,2787657.0,-0.014,-1.359
530530,2025-10-13 00:00:00,2025-10-13,1.0,1.019,0.984,1.019,2970200,2994210.0,0.003,0.295
530530,2025-10-14 00:00:00,2025-10-14,1.028,1.031,1.0,1.006,4801200,4909839.0,-0.013,-1.276
530530,2025-10-15 00:00:00,2025-10-15,1.014,1.014,0.996,1.013,3487000,3495955.0,0.007,0.696
530530,2025-10-16 00:00:00,2025-10-16,1.007,1.012,1.002,1.007,3387000,3411235.0,-0.006,-0.592
530530,2025-10-17 00:00:00,2025-10-17,1.005,1.006,0.972,0.975,4562800,4485440.0,-0.032,-3.178
530530,2025-10-20 00:00:00,2025-10-20,0.989,0.992,0.978,0.984,3347800,3291525.0,0.009,0.923
530530,2025-10-21 00:00:00,2025-10-21,0.989,1.001,0.984,1.0,3959100,3943669.0,0.016,1.626
530530,2025-10-22 00:00:00,2025-10-22,1.0,1.002,0.995,0.998,2124700,2123350.0,-0.002,-0.2
530530,2025-10-23 00:00:00,2025-10-23,0.989,0.998,0.98,0.995,1567200,1541786.0,-0.003,-0.301
530530,2025-10-24 00:00:00,2025-10-24,0.998,1.009,0.998,1.009,4997300,5029159.0,0.014,1.407
530530,2025-10-27 00:00:00,2025-10-27,1.009,1.019,1.009,1.015,6516000,6607346.0,0.006,0.595
530530,2025-10-28 00:00:00,2025-10-28,1.011,1.022,1.011,1.016,8024100,8171399.0,0.001,0.099
530530,2025-10-29 00:00:00,2025-10-29,1.017,1.025,1.014,1.024,9995800,10196041.0,0.008,0.787
530530,2025-10-30 00:00:00,2025-10-30,1.022,1.022,1.01,1.013,2557000,2593757.0,-0.011,-1.074
530530,2025-10-31 00:00:00,2025-10-31,1.013,1.025,1.01,1.015,2660800,2709970.0,0.002,0.197
530530,2025-11-03 00:00:00,2025-11-03,1.009,1.022,1.005,1.022,5621200,5708538.0,0.007,0.69
