fund_code,trade_time,trade_date,open,high,low,close,volume,amount,change,change_pct
159892,2021-10-19 00:00:00,2021-10-19,0.99,1.001,0.986,1.001,70306190,69870294.0,,
159892,2021-10-20 00:00:00,2021-10-20,1.006,1.018,1.001,1.015,57063254,57609153.0,0.014,1.399
159892,2021-10-21 00:00:00,2021-10-21,1.015,1.022,0.992,0.996,29656551,29913338.0,-0.019,-1.872
159892,2021-10-22 00:00:00,2021-10-22,1.007,1.007,0.992,0.997,20014142,19959607.0,0.001,0.1
159892,2021-10-25 00:00:00,2021-10-25,0.998,1.01,0.996,0.999,9523349,9557836.8,0.002,0.201
159892,2021-10-26 00:00:00,2021-10-26,0.999,1.0,0.977,0.98,11609059,11482615.4,-0.019,-1.902
159892,2021-10-27 00:00:00,2021-10-27,0.979,0.982,0.948,0.949,17003353,16270562.0,-0.031,-3.163
159892,2021-10-28 00:00:00,2021-10-28,0.949,0.954,0.94,0.942,4808309,4554167.5,-0.007,-0.738
159892,2021-10-29 00:00:00,2021-10-29,0.941,0.946,0.938,0.944,5706618,5380695.5,0.002,0.212
159892,2021-11-01 00:00:00,2021-11-01,0.944,0.944,0.911,0.915,12482653,11485821.4,-0.029,-3.072
159892,2021-11-02 00:00:00,2021-11-02,0.93,0.931,0.904,0.905,8190716,7529915.2,-0.01,-1.093
159892,2021-11-03 00:00:00,2021-11-03,0.906,0.92,0.905,0.909,4827610,4393086.2,0.004,0.442
159892,2021-11-04 00:00:00,2021-11-04,0.92,0.92,0.89,0.895,7490547,6741510.1,-0.014,-1.54
159892,2021-11-05 00:00:00,2021-11-05,0.894,0.902,0.89,0.892,4996914,4475754.4,-0.003,-0.335
159892,2021-11-08 00:00:00,2021-11-08,0.888,0.893,0.867,0.871,5695301,4962929.8,-0.021,-2.354
159892,2021-11-09 00:00:00,2021-11-09,0.873,0.902,0.873,0.901,10228112,9134620.1,0.03,3.444
159892,2021-11-10 00:00:00,2021-11-10,0.899,0.925,0.896,0.924,11982309,10923413.3,0.023,2.553
159892,2021-11-11 00:00:00,2021-11-11,0.933,0.937,0.911,0.929,10008992,9252666.3,0.005,0.541
159892,2021-11-12 00:00:00,2021-11-12,0.931,0.937,0.922,0.926,7619314,7096658.5,-0.003,-0.323
159892,2021-11-15 00:00:00,2021-11-15,0.927,0.949,0.927,0.937,6397165,6009225.1,0.011,1.188
159892,2021-11-16 00:00:00,2021-11-16,0.931,0.964,0.931,0.957,9240413,8836485.0,0.02,2.134
159892,2021-11-17 00:00:00,2021-11-17,0.959,0.971,0.958,0.969,6126423,5923279.4,0.012,1.254
159892,2021-11-18 00:00:00,2021-11-18,0.966,0.966,0.951,0.954,4604529,4404387.1,-0.015,-1.548
159892,2021-11-19 00:00:00,2021-11-19,0.954,0.961,0.945,0.955,6886655,6567682.8,0.001,0.105
159892,2021-11-22 00:00:00,2021-11-22,0.957,0.963,0.938,0.939,8606308,8153227.0,-0.016,-1.675
159892,2021-11-23 00:00:00,2021-11-23,0.939,0.939,0.92,0.922,5429102,5028722.3,-0.017,-1.81
159892,2021-11-24 00:00:00,2021-11-24,0.923,0.929,0.91,0.926,5267401,4842387.0,0.004,0.434
159892,2021-11-25 00:00:00,2021-11-25,0.924,0.939,0.922,0.939,10054301,9355222.4,0.013,1.404
159892,2021-11-26 00:00:00,2021-11-26,0.942,0.942,0.924,0.93,9814307,9170271.2,-0.009,-0.958
159892,2021-11-29 00:00:00,2021-11-29,0.941,0.96,0.92,0.922,7560801,7051326.3,-0.008,-0.86
159892,2021-11-30 00:00:00,2021-11-30,0.933,0.933,0.904,0.907,7169003,6542636.4,-0.015,-1.627
159892,2021-12-01 00:00:00,2021-12-01,0.908,0.919,0.897,0.9,5480701,4959389.3,-0.007,-0.772
159892,2021-12-02 00:00:00,2021-12-02,0.9,0.903,0.884,0.887,4518903,4033348.2,-0.013,-1.444
159892,2021-12-03 00:00:00,2021-12-03,0.889,0.896,0.884,0.891,2617505,2328204.5,0.004,0.451
159892,2021-12-06 00:00:00,2021-12-06,0.891,0.891,0.849,0.85,12012301,10341007.1,-0.041,-4.602
159892,2021-12-07 00:00:00,2021-12-07,0.865,0.873,0.853,0.863,4244205,3644737.7,0.013,1.529
159892,2021-12-08 00:00:00,2021-12-08,0.867,0.885,0.867,0.878,3544600,3112249.0,0.015,1.738
159892,2021-12-09 00:00:00,2021-12-09,0.888,0.906,0.879,0.905,12204201,10977005.3,0.027,3.075
159892,2021-12-10 00:00:00,2021-12-10,0.906,0.906,0.89,0.891,6541100,5852473.6,-0.014,-1.547
159892,2021-12-13 00:00:00,2021-12-13,0.891,0.902,0.874,0.875,8176000,7213453.4,-0.016,-1.796
159892,2021-12-14 00:00:00,2021-12-14,0.87,0.878,0.865,0.866,6520300,5669215.1,-0.009,-1.029
159892,2021-12-15 00:00:00,2021-12-15,0.866,0.876,0.809,0.815,25913346,21722603.0,-0.051,-5.889
159892,2021-12-16 00:00:00,2021-12-16,0.821,0.825,0.805,0.822,17228346,14025677.0,0.007,0.859
159892,2021-12-17 00:00:00,2021-12-17,0.83,0.837,0.807,0.814,14843014,12194478.8,-0.008,-0.973
159892,2021-12-20 00:00:00,2021-12-20,0.811,0.826,0.793,0.794,19232402,15434957.0,-0.02,-2.457
159892,2021-12-21 00:00:00,2021-12-21,0.797,0.802,0.786,0.797,18062102,14342761.0,0.003,0.378
159892,2021-12-22 00:00:00,2021-12-22,0.802,0.807,0.797,0.797,16181120,12969201.3,0.0,0.0
159892,2021-12-23 00:00:00,2021-12-23,0.803,0.807,0.799,0.803,19995000,16050458.0,0.006,0.753
159892,2021-12-24 00:00:00,2021-12-24,0.805,0.805,0.791,0.797,9842406,7843685.8,-0.006,-0.747
159892,2021-12-27 00:00:00,2021-12-27,0.796,0.8,0.794,0.797,4736601,3773188.1,0.0,0.0
159892,2021-12-28 00:00:00,2021-12-28,0.797,0.797,0.775,0.785,25266216,19739611.0,-0.012,-1.506
159892,2021-12-29 00:00:00,2021-12-29,0.779,0.782,0.762,0.765,18631602,14279766.0,-0.02,-2.548
159892,2021-12-30 00:00:00,2021-12-30,0.765,0.773,0.759,0.77,13738423,10522258.3,0.005,0.654
