stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002135,2007-04-19,150000000,150000000,0,上市前股本
002135,2007-05-09,200000000,160000500,39999500,首发A股上市
002135,2007-08-30,200000000,150000500,49999500,网下配售股份上市
002135,2008-05-30,200000000,140416475,59583525,首发限售股份上市
002135,2008-12-31,200000000,140416225,59583775,定期报告
002135,2009-12-31,200000000,140415975,59584025,定期报告
002135,2010-05-31,200000000,33360750,166639250,首发限售股份上市
002135,2011-04-08,300000000,50041125,249958875,转增股上市
002135,2011-06-30,300000000,54541125,245458875,定期报告
002135,2011-11-30,300000000,45541125,254458875,股份性质变更
002135,2011-12-22,374300000,119841125,254458875,增发A股上市
002135,2011-12-31,374300000,121234955,253065045,定期报告
002135,2012-05-09,748600000,242469910,506130090,"送股上市,转增股上市"
002135,2012-06-30,748600000,242604910,505995090,定期报告
002135,2012-12-24,748600000,94004910,654595090,网下配售股份上市
002135,2012-12-31,748600000,77923172,670676828,定期报告
002135,2013-06-30,748600000,78161167,670438833,高管股份变动
002135,2013-12-31,748600000,78392467,670207533,高管股份变动
002135,2014-06-30,748600000,77405467,671194533,高管股份变动
002135,2015-12-28,748600000,77405467,671194533,高管股份变动
002135,2016-01-14,854532200,183337667,671194533,增发A股上市
002135,2017-10-27,1034402200,363207667,671194533,增发A股上市
002135,2017-12-31,1034402200,363712417,670689783,高管股份变动
002135,2018-06-30,1034402200,361693418,672708782,高管股份变动
002135,2018-10-30,1034402200,181823418,852578782,网下配售股份上市
002135,2019-01-14,1034402200,75891218,958510982,网下配售股份上市
002135,2020-06-30,1034402200,77304818,957097382,高管股份变动
002135,2020-12-31,1034402200,75891218,958510982,高管股份变动
002135,2021-06-30,1034402200,71650418,962751782,高管股份变动
002135,2022-01-10,1165549740,202797958,962751782,增发A股上市
002135,2022-06-30,1165549740,202797958,962751782,股份性质变更
002135,2022-07-20,1165549740,71650418,1093899322,网下配售股份上市
002135,2023-11-15,1149598194,71650418,1077947776,回购
002135,2024-09-30,1149612145,71650418,1077961727,债转股上市
002135,2024-11-10,1149613207,71650418,1077962789,债转股上市
002135,2024-11-11,1115514807,71650418,1043864389,回购
002135,2024-12-31,1115515687,71650418,1043865269,债转股上市
002135,2025-03-31,1115516426,71650418,1043866008,债转股上市
002135,2025-05-15,1115517130,71650418,1043866712,债转股上市
002135,2025-09-30,1115517913,71650418,1043867495,债转股上市
002135,2025-12-31,1115518269,71650418,1043867851,债转股上市
002135,2026-03-09,1115520766,71650418,1043870348,债转股上市
002135,2026-03-24,1115520944,71650418,1043870526,债转股上市
002135,2026-03-31,1115521300,71650418,1043870882,债转股上市
