stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002174,2007-09-07,61939921,61939921,0,上市前股本
002174,2007-09-17,82939921,66139921,16800000,首发A股上市
002174,2007-12-25,82939921,61939921,21000000,网下配售股份上市
002174,2008-09-25,82939921,48932538,34007383,首发限售股份上市
002174,2010-09-28,82939921,0,82939921,首发限售股份上市
002174,2014-04-14,275709972,192770051,82939921,增发A股上市
002174,2015-05-18,275709972,187535350,88174622,网下配售股份上市
002174,2015-06-30,275709972,187706830,88003142,高管股份变动
002174,2015-12-09,287105015,199101873,88003142,增发A股上市
002174,2016-04-08,861315045,597305619,264009426,转增股上市
002174,2016-05-27,861315045,581601516,279713529,网下配售股份上市
002174,2017-01-04,861315045,553372135,307942910,网下配售股份上市
002174,2017-05-17,861315045,285399208,575915837,网下配售股份上市
002174,2017-06-30,861315045,312522653,548792392,高管股份变动
002174,2017-12-14,861315045,287368313,573946732,高管股份变动
002174,2017-12-15,888467873,314521141,573946732,增发A股上市
002174,2017-12-29,888467873,311543268,576924605,网下配售股份上市
002174,2017-12-31,888467873,311543418,576924455,高管股份变动
002174,2018-06-30,888467873,269702103,618765770,高管股份变动
002174,2018-12-14,888467873,272457943,616009930,高管股份变动
002174,2018-12-18,888467873,249184089,639283784,网下配售股份上市
002174,2018-12-31,888467873,246206214,642261659,"网下配售股份上市,高管股份变动"
002174,2019-06-30,888467873,243581253,644886620,高管股份变动
002174,2020-03-31,888473569,226143110,662330459,"债转股上市,高管股份变动"
002174,2020-06-30,901364231,226143110,675221121,债转股上市
002174,2020-08-19,915811338,226143110,689668228,债转股上市
002174,2020-09-30,915820474,223660072,692160402,"债转股上市,高管股份变动"
002174,2020-12-16,915822646,223660072,692162574,债转股上市
002174,2020-12-18,915822646,219781098,696041548,网下配售股份上市
002174,2020-12-31,915823287,222496380,693326907,"债转股上市,高管股份变动"
002174,2021-03-31,915823874,226027371,689796503,"债转股上市,高管股份变动"
002174,2021-06-30,915857546,112984538,802873008,"债转股上市,高管股份变动"
002174,2021-09-30,915858662,1745225,914113437,"债转股上市,高管股份变动"
002174,2021-12-31,915861714,1695225,914166489,"债转股上市,高管股份变动"
002174,2022-02-11,915861831,1695225,914166606,债转股上市
002174,2022-03-31,915862102,1695225,914166877,债转股上市
002174,2022-06-30,915870698,1695225,914175473,债转股上市
002174,2022-09-30,915870756,1695225,914175531,债转股上市
002174,2022-12-30,915871166,1695225,914175941,债转股上市
002174,2023-03-31,915871399,2062150,913809249,"债转股上市,高管股份变动"
002174,2023-06-30,915883412,2067125,913816287,"债转股上市,高管股份变动"
002174,2023-08-30,915884235,2067125,913817110,债转股上市
002174,2023-09-28,915884235,1700200,914184035,高管股份变动
002174,2023-12-29,915886001,1695225,914190776,"债转股上市,高管股份变动"
002174,2024-03-29,915891049,1416300,914474749,"债转股上市,高管股份变动"
002174,2024-06-28,915910493,1416300,914494193,债转股上市
002174,2024-07-22,915910551,1416300,914494251,债转股上市
002174,2024-09-30,915916047,1425500,914490547,"债转股上市,高管股份变动"
002174,2024-12-31,915922072,588725,915333347,"债转股上市,高管股份变动"
002174,2025-03-31,915922435,551925,915370510,"债转股上市,高管股份变动"
002174,2025-06-30,933911274,551925,933359349,债转股上市
002174,2025-08-20,977525556,551925,976973631,债转股上市
002174,2025-08-27,983355167,551925,982803242,债转股上市
002174,2026-01-29,979810967,551925,979259042,回购
