stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002159,2007-07-26,50000000,50000000,0,上市前股本
002159,2007-08-06,80000000,53000000,27000000,首发A股上市
002159,2007-11-13,80000000,53048658,26951342,高管股份变动
002159,2007-11-19,80000000,50048658,29951342,网下配售股份上市
002159,2008-05-16,120000000,75072987,44927013,"送股上市,转增股上市"
002159,2008-08-18,120000000,43864812,76135188,首发限售股份上市
002159,2009-12-31,120000000,43867061,76132939,定期报告
002159,2010-08-13,120000000,43868544,76131456,股份性质变更
002159,2010-08-17,120000000,134544,119865456,首发限售股份上市
002159,2010-12-31,120000000,131578,119868422,定期报告
002159,2011-12-31,120000000,128612,119871388,定期报告
002159,2014-06-30,120000000,132365,119867635,高管股份变动
002159,2014-10-20,120000000,124860,119875140,高管股份变动
002159,2014-10-21,138666666,18791526,119875140,增发A股上市
002159,2015-11-04,138666666,18784021,119882645,股份性质变更
002159,2015-11-05,138666666,4784022,133882644,网下配售股份上市
002159,2017-11-06,138666666,2917355,135749311,网下配售股份上市
002159,2017-12-08,138666666,117355,138549311,网下配售股份上市
002159,2019-12-31,138666666,1097735,137568931,高管股份变动
002159,2020-06-30,138666666,1203363,137463303,高管股份变动
002159,2020-12-31,138666666,637681,138028985,高管股份变动
002159,2021-01-11,138666666,637681,138028985,高管股份变动
002159,2021-01-18,177301325,39272340,138028985,增发A股上市
002159,2023-12-31,177301325,39423089,137878236,高管股份变动
002159,2024-02-19,177301325,38820096,138481229,高管股份变动
002159,2024-12-31,177301325,38839612,138461713,高管股份变动
002159,2025-06-30,177301325,38828762,138472563,高管股份变动
