stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002755,2014-05-04,76000000,76000000.0,,上市前股本
002755,2015-05-06,101340000,76000000.0,25340000.0,首发A股上市
002755,2016-05-16,101340000,66200000.0,35140000.0,首发限售股份上市
002755,2018-05-16,101340000,13972863.0,87367137.0,首发限售股份上市
002755,2018-05-24,101340000,,101340000.0,高管股份变动
002755,2018-05-31,172278000,,172278000.0,转增股上市
002755,2018-12-31,172278000,21927047.0,150350953.0,高管股份变动
002755,2019-01-08,172278000,,172278000.0,高管股份变动
002755,2019-01-09,928160351,755882351.0,172278000.0,增发A股上市
002755,2019-06-30,928160351,785132814.0,143027537.0,高管股份变动
002755,2019-12-31,928160351,777358048.0,150802303.0,高管股份变动
002755,2020-06-30,928160351,776067372.0,152092979.0,高管股份变动
002755,2020-12-31,928160351,755887976.0,172272375.0,高管股份变动
002755,2021-06-01,928160351,574476212.0,353684139.0,网下配售股份上市
002755,2021-12-31,928160351,574479962.0,353680389.0,高管股份变动
002755,2022-01-21,928160351,574477637.0,353682714.0,高管股份变动
002755,2022-01-25,928160351,7050.0,928153301.0,网下配售股份上市
002755,2022-06-30,928160351,15825.0,928144526.0,高管股份变动
002755,2022-12-31,928160351,8775.0,928151576.0,高管股份变动
002755,2025-12-31,928160351,9900.0,928150451.0,高管股份变动
