stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002520,2010-11-23,48000000,48000000,0,上市前股本
002520,2010-12-01,64000000,51200000,12800000,首发A股上市
002520,2011-03-10,64000000,48000000,16000000,首发限售股份上市
002520,2011-05-03,96000000,72000000,24000000,转增股上市
002520,2011-12-12,96000000,60120000,35880000,首发限售股份上市
002520,2012-05-15,144000000,90180000,53820000,转增股上市
002520,2013-05-14,216000000,135270000,80730000,转增股上市
002520,2013-12-10,216000000,7290000,208710000,首发限售股份上市
002520,2013-12-19,216000000,117087746,98912254,其他变动原因
002520,2014-11-13,216000000,7290000,208710000,其他限售股上市
002520,2014-12-31,216000000,7602975,208397025,高管股份变动
002520,2015-05-21,324000000,11404462,312595538,转增股上市
002520,2015-12-17,369392646,56797108,312595538,增发A股上市
002520,2016-06-08,554088969,85195661,468893308,转增股上市
002520,2016-12-14,554088969,85195661,468893308,股份性质变更
002520,2016-12-19,554088969,23915590,530173379,网下配售股份上市
002520,2017-12-31,554088969,23915591,530173378,高管股份变动
002520,2018-06-30,554088969,56720590,497368379,高管股份变动
002520,2019-01-29,756354339,258985960,497368379,增发A股上市
002520,2019-06-05,755861482,258493103,497368379,回购
002520,2019-12-18,755861482,251684205,504177277,网下配售股份上市
002520,2020-02-05,755861482,204151844,551709638,网下配售股份上市
002520,2020-05-25,755380872,203671234,551709638,回购
002520,2021-09-06,862899328,311189690,551709638,增发A股上市
002520,2022-02-28,862899328,309587015,553312313,高管股份变动
002520,2022-03-07,862899328,202068559,660830769,网下配售股份上市
002520,2022-09-30,862899328,206178265,656721063,高管股份变动
002520,2022-11-09,815244734,174918723,640326011,回购
002520,2022-11-15,800245171,174918723,625326448,回购
002520,2023-06-30,800245171,155305000,644940171,高管股份变动
002520,2024-12-26,750245171,107805000,642440171,回购
002520,2025-01-13,750245171,32805000,717440171,网下配售股份上市
