stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002150,2007-07-18,52000000,52000000.0,0,上市前股本
002150,2007-07-26,69500000,55500000.0,14000000,首发A股上市
002150,2007-11-12,69500000,52000000.0,17500000,网下配售股份上市
002150,2008-06-11,104250000,78000000.0,26250000,"送股上市,转增股上市"
002150,2009-08-10,104250000,70980000.0,33270000,首发限售股份上市
002150,2010-06-22,156375000,106470000.0,49905000,转增股上市
002150,2010-08-10,156375000,100620000.0,55755000,首发限售股份上市
002150,2011-06-02,250200000,160992000.0,89208000,转增股上市
002150,2012-08-10,250200000,7020000.0,243180000,首发限售股份上市
002150,2014-08-18,250200000,2340000.0,247860000,首发限售股份上市
002150,2015-08-14,250200000,0.0,250200000,首发限售股份上市
002150,2016-11-03,274243887,24043887.0,250200000,增发A股上市
002150,2017-11-16,274243887,,274243887,网下配售股份上市
002150,2018-12-31,274243887,1099500.0,273144387,高管股份变动
002150,2019-06-05,356517053,1429350.0,355087703,转增股上市
002150,2021-06-30,356517053,1367325.0,355149728,高管股份变动
002150,2023-06-30,356517053,1736200.0,354780853,高管股份变动
002150,2023-11-06,362027053,7246200.0,354780853,限制性股票
002150,2023-12-31,362027053,6812150.0,355214903,高管股份变动
002150,2024-06-22,362027053,6812450.0,355214603,高管股份变动
002150,2024-09-13,363404553,8189950.0,355214603,限制性股票
002150,2024-11-12,363404553,6053950.0,357350603,股权激励限售流通股上市
002150,2024-12-05,363404553,4858000.0,358546553,高管股份变动
002150,2024-12-06,363234553,4688000.0,358546553,回购
002150,2025-06-30,363234553,4717075.0,358517478,股份性质变更
002150,2025-12-24,363234553,4689575.0,358544978,高管股份变动
002150,2025-12-25,360868803,2323825.0,358544978,回购
