stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002105,2006-12-20,200000000,200000000,0,上市前股本
002105,2006-12-25,268000000,213600000,54400000,首发A股上市
002105,2006-12-31,268000000,213600000,54400000,定期报告
002105,2007-04-12,268000000,200000000,68000000,网下配售股份上市
002105,2008-01-14,268000000,137440000,130560000,首发限售股份上市
002105,2010-01-13,268000000,0,268000000,首发限售股份上市
002105,2014-06-12,335000000,0,335000000,转增股上市
002105,2015-06-10,368500000,0,368500000,转增股上市
002105,2023-06-29,368500000,3661100,364838900,限制性股票
002105,2023-11-07,368160000,3661100,364498900,回购
002105,2024-06-30,368160000,3688025,364471975,股份性质变更
002105,2024-12-13,368060000,3588025,364471975,回购
002105,2024-12-31,368060000,3588025,364471975,股份性质变更
002105,2025-12-21,368060000,3589025,364470975,高管股份变动
002105,2025-12-22,366241950,1770975,364470975,回购
002105,2025-12-31,366241950,1770975,364470975,股份性质变更
