stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002627,2011-10-12,100000000,100000000,0,上市前股本
002627,2011-10-21,133500000,106600000,26900000,首发A股上市
002627,2011-12-31,133500000,106600000,26900000,定期报告
002627,2012-02-03,133500000,100000000,33500000,网下配售股份上市
002627,2012-06-30,133500000,100000000,33500000,定期报告
002627,2012-11-05,133500000,63860000,69640000,首发限售股份上市
002627,2013-12-31,133500000,63610000,69890000,高管股份变动
002627,2014-06-30,133500000,63755000,69745000,高管股份变动
002627,2014-11-03,133500000,3355000,130145000,首发限售股份上市
002627,2014-12-31,133500000,3035400,130464600,高管股份变动
002627,2015-06-30,133500000,2806025,130693975,高管股份变动
002627,2015-12-31,133500000,2502150,130997850,高管股份变动
002627,2016-06-30,133500000,2070956,131429044,高管股份变动
002627,2016-12-31,133500000,1823456,131676544,高管股份变动
002627,2017-06-30,133500000,1624004,131875996,高管股份变动
002627,2017-09-29,133500000,1376504,132123496,高管股份变动
002627,2017-10-09,185126223,53002727,132123496,增发A股上市
002627,2017-12-31,185126223,52987227,132138996,高管股份变动
002627,2018-06-28,185126223,52975038,132151185,高管股份变动
002627,2018-07-05,314714579,90057565,224657014,转增股上市
002627,2018-10-18,314714579,90059063,224655516,高管股份变动
002627,2018-10-23,314714579,37400315,277314264,网下配售股份上市
002627,2018-12-31,314714579,37557648,277156931,高管股份变动
002627,2019-06-30,314714579,37394065,277320514,高管股份变动
002627,2019-09-03,334003673,56683159,277320514,增发A股上市
002627,2019-12-31,334003673,56692684,277310989,高管股份变动
002627,2020-06-11,334003673,56850787,277152886,高管股份变动
002627,2020-06-19,567806244,96646338,471159906,转增股上市
002627,2020-06-30,567806244,96646336,471159908,股份性质变更
002627,2020-10-19,567806244,96352062,471454182,高管股份变动
002627,2020-10-23,567806244,36672149,531134095,网下配售股份上市
002627,2020-12-31,567806244,34964364,532841880,高管股份变动
002627,2021-03-31,567806244,32791459,535014785,高管股份变动
002627,2021-06-30,567806244,34964367,532841877,高管股份变动
002627,2021-07-07,738148117,205306240,532841877,增发A股上市
002627,2022-01-19,738148117,205595240,532552877,高管股份变动
002627,2022-01-20,738148117,52287554,685860563,网下配售股份上市
002627,2022-06-30,738148117,52046817,686101300,高管股份变动
002627,2022-09-13,738148117,41212221,696935896,网下配售股份上市
002627,2022-10-27,738148117,41017652,697130465,高管股份变动
002627,2023-06-30,738148117,41128502,697019615,高管股份变动
002627,2023-12-05,738148117,40695002,697453115,高管股份变动
002627,2023-12-31,738148117,39244294,698903823,高管股份变动
002627,2024-06-30,738148117,39226519,698921598,高管股份变动
002627,2024-07-15,728159099,29237501,698921598,回购
002627,2024-07-22,728159099,12203314,715955785,网下配售股份上市
002627,2024-07-29,728159099,10994332,717164767,网下配售股份上市
002627,2024-10-23,728159099,10995157,717163942,高管股份变动
002627,2024-10-24,724601378,7437436,717163942,回购
002627,2025-06-30,724601378,7493811,717107567,高管股份变动
002627,2025-12-31,724601378,7521203,717080175,高管股份变动
002627,2026-04-24,724601378,7520584,717080794,高管股份变动
