stock_code,change_date,total_shares,limit_shares,list_a_shares,change_reason
002782,2012-09-03,127800000,127800000,,上市前股本
002782,2015-12-14,170400000,127800000,42600000.0,首发A股上市
002782,2016-06-08,426000000,319500000,106500000.0,转增股上市
002782,2018-12-24,426000000,0,426000000.0,首发限售股份上市
002782,2020-09-17,468734227,42734227,426000000.0,增发A股上市
002782,2020-11-23,476941227,50941227,426000000.0,限制性股票
002782,2021-03-17,476941227,8207000,468734227.0,网下配售股份上市
002782,2021-06-03,476901227,8167000,468734227.0,回购
002782,2021-11-23,476901227,4928200,471973027.0,股权激励限售流通股上市
002782,2021-12-27,476901227,5030200,471871027.0,高管股份变动
002782,2021-12-29,476831227,4960200,471871027.0,回购
002782,2022-04-26,476831227,4858200,471973027.0,高管股份变动
002782,2022-07-18,476723227,4750200,471973027.0,回购
002782,2022-11-23,476723227,2381100,474342127.0,股权激励限售流通股上市
002782,2022-12-30,476723227,2559600,474163627.0,高管股份变动
002782,2023-02-14,490369413,16205786,474163627.0,增发A股上市
002782,2023-03-29,490369413,16113536,474255877.0,高管股份变动
002782,2023-06-02,490318413,16062536,474255877.0,回购
002782,2023-08-14,490318413,2416350,487902063.0,网下配售股份上市
002782,2023-09-27,492878413,4976350,487902063.0,限制性股票
002782,2023-11-23,492878413,2715250,490163163.0,股权激励限售流通股上市
002782,2023-12-26,492878413,2919250,489959163.0,高管股份变动
002782,2023-12-27,492809413,2850250,489959163.0,回购
002782,2024-04-03,492809413,2792782,490016631.0,高管股份变动
002782,2024-06-30,492809413,2805438,490003975.0,高管股份变动
002782,2024-09-27,492809413,1781438,491027975.0,股权激励限售流通股上市
002782,2024-12-31,492809413,1730813,491078600.0,高管股份变动
002782,2025-07-18,496732013,10230813,486501200.0,限制性股票
002782,2025-08-29,495964013,9462813,486501200.0,回购
