stock_code,trade_time,trade_date,open,close,high,low,volume,amount,change_pct,change,turnover_ratio,pre_close
002786,2025-01-02 00:00:00,2025-01-02,9.25,9.1,9.45,9.02,13510600,124766373.82,-1.62,-0.15,2.73,9.25
002786,2025-01-03 00:00:00,2025-01-03,9.15,8.63,9.2,8.6,14578900,128732038.39,-5.16,-0.47,2.95,9.1
002786,2025-01-06 00:00:00,2025-01-06,8.44,8.54,8.7,8.29,11294100,96155993.36,-1.04,-0.09,2.29,8.63
002786,2025-01-07 00:00:00,2025-01-07,8.55,8.9,8.91,8.55,13870500,121545495.84,4.22,0.36,2.81,8.54
002786,2025-01-08 00:00:00,2025-01-08,8.87,8.93,8.98,8.6,14154800,124859662.24,0.34,0.03,2.86,8.9
002786,2025-01-09 00:00:00,2025-01-09,8.88,9.03,9.08,8.87,10553600,94990414.89,1.12,0.1,2.14,8.93
002786,2025-01-10 00:00:00,2025-01-10,9.01,8.72,9.09,8.71,10760900,96062237.78,-3.43,-0.31,2.18,9.03
002786,2025-01-13 00:00:00,2025-01-13,8.52,8.75,8.8,8.39,8322200,71922394.01,0.34,0.03,1.68,8.72
002786,2025-01-14 00:00:00,2025-01-14,8.82,9.17,9.17,8.79,13677700,123750857.36,4.8,0.42,2.77,8.75
002786,2025-01-15 00:00:00,2025-01-15,9.2,9.19,9.27,9.1,10510900,96612277.98,0.22,0.02,2.13,9.17
002786,2025-01-16 00:00:00,2025-01-16,9.24,9.74,10.11,9.21,45141100,445105702.54,5.98,0.55,9.14,9.19
002786,2025-01-17 00:00:00,2025-01-17,9.52,9.37,9.64,9.33,27821700,263013572.99,-3.8,-0.37,5.63,9.74
002786,2025-01-20 00:00:00,2025-01-20,9.45,9.48,9.58,9.3,16305000,154102515.97,1.17,0.11,3.3,9.37
002786,2025-01-21 00:00:00,2025-01-21,9.48,9.36,9.53,9.28,10690700,100047916.08,-1.27,-0.12,2.16,9.48
002786,2025-01-22 00:00:00,2025-01-22,9.29,9.12,9.32,9.06,11197600,102615670.48,-2.56,-0.24,2.27,9.36
002786,2025-01-23 00:00:00,2025-01-23,9.2,9.05,9.37,9.04,12553200,115733560.0,-0.77,-0.07,2.54,9.12
002786,2025-01-24 00:00:00,2025-01-24,9.03,9.08,9.12,8.88,11048100,99396016.0,0.33,0.03,2.24,9.05
002786,2025-01-27 00:00:00,2025-01-27,8.98,8.78,9.08,8.74,11644800,103329239.12,-3.3,-0.3,2.36,9.08
002786,2025-02-05 00:00:00,2025-02-05,8.94,9.08,9.1,8.88,12481300,112730604.23,3.42,0.3,2.53,8.78
002786,2025-02-06 00:00:00,2025-02-06,9.02,9.36,9.37,8.98,13544600,124943023.62,3.08,0.28,2.74,9.08
002786,2025-02-07 00:00:00,2025-02-07,9.39,9.56,9.68,9.38,18624100,177406454.0,2.14,0.2,3.77,9.36
002786,2025-02-10 00:00:00,2025-02-10,9.57,9.8,9.8,9.56,15100400,146207941.46,2.51,0.24,3.06,9.56
002786,2025-02-11 00:00:00,2025-02-11,9.81,9.6,9.83,9.58,12741600,122896982.0,-2.04,-0.2,2.58,9.8
002786,2025-02-12 00:00:00,2025-02-12,9.62,9.75,9.85,9.57,13260100,128762702.0,1.56,0.15,2.68,9.6
002786,2025-02-13 00:00:00,2025-02-13,9.79,9.97,10.38,9.75,37885600,383503965.72,2.26,0.22,7.67,9.75
002786,2025-02-14 00:00:00,2025-02-14,9.82,9.62,9.9,9.55,22637900,218918869.19,-3.51,-0.35,4.58,9.97
002786,2025-02-17 00:00:00,2025-02-17,10.28,10.58,10.58,10.13,31677800,332922983.0,9.98,0.96,6.41,9.62
002786,2025-02-18 00:00:00,2025-02-18,10.9,10.59,11.42,10.58,78194800,858573066.87,0.09,0.01,15.83,10.58
002786,2025-02-19 00:00:00,2025-02-19,10.3,11.06,11.57,10.3,56996800,621432100.84,4.44,0.47,11.54,10.59
002786,2025-02-20 00:00:00,2025-02-20,10.83,10.92,11.06,10.65,38433600,415158617.72,-1.27,-0.14,7.78,11.06
002786,2025-02-21 00:00:00,2025-02-21,10.8,10.74,10.81,10.55,28746300,307415555.06,-1.65,-0.18,5.82,10.92
002786,2025-02-24 00:00:00,2025-02-24,10.61,10.49,10.68,10.41,23391500,245776082.49,-2.33,-0.25,4.73,10.74
002786,2025-02-25 00:00:00,2025-02-25,10.39,10.42,10.65,10.31,20385500,214514005.85,-0.67,-0.07,4.13,10.49
002786,2025-02-26 00:00:00,2025-02-26,10.48,10.66,10.75,10.45,24384900,258896309.58,2.3,0.24,4.94,10.42
002786,2025-02-27 00:00:00,2025-02-27,10.68,10.37,10.75,10.2,21440800,223909587.72,-2.72,-0.29,4.34,10.66
002786,2025-02-28 00:00:00,2025-02-28,10.29,10.0,10.53,10.0,17284900,177282806.18,-3.57,-0.37,3.5,10.37
002786,2025-03-03 00:00:00,2025-03-03,9.98,10.01,10.24,9.71,15171400,152262202.0,0.1,0.01,3.07,10.0
002786,2025-03-04 00:00:00,2025-03-04,10.02,11.01,11.01,10.02,23016700,251114977.0,9.99,1.0,4.66,10.01
002786,2025-03-05 00:00:00,2025-03-05,10.91,10.79,11.55,10.7,61922900,682094698.0,-2.0,-0.22,12.53,11.01
002786,2025-03-06 00:00:00,2025-03-06,10.79,10.8,10.9,10.7,37430600,403789505.8,0.09,0.01,7.58,10.79
002786,2025-03-07 00:00:00,2025-03-07,10.72,10.54,10.8,10.5,27659200,293867436.0,-2.41,-0.26,5.6,10.8
002786,2025-03-10 00:00:00,2025-03-10,10.67,10.62,10.67,10.51,15778100,167112487.48,0.76,0.08,3.19,10.54
002786,2025-03-11 00:00:00,2025-03-11,10.52,11.03,11.03,10.38,44430400,482103842.7,3.86,0.41,8.99,10.62
002786,2025-03-12 00:00:00,2025-03-12,11.05,10.85,11.05,10.8,29682200,322462851.94,-1.63,-0.18,6.01,11.03
002786,2025-03-13 00:00:00,2025-03-13,10.8,10.4,10.8,10.3,24309000,254595617.2,-4.15,-0.45,4.92,10.85
002786,2025-03-14 00:00:00,2025-03-14,10.39,10.54,10.54,10.26,14237900,148832191.86,1.35,0.14,2.88,10.4
002786,2025-03-17 00:00:00,2025-03-17,10.54,10.61,10.73,10.43,16186800,170580688.0,0.66,0.07,3.28,10.54
002786,2025-03-18 00:00:00,2025-03-18,10.54,10.49,10.7,10.47,13862300,146252932.0,-1.13,-0.12,2.81,10.61
002786,2025-03-19 00:00:00,2025-03-19,10.5,10.83,11.38,10.38,45295700,492768523.44,3.24,0.34,9.17,10.49
002786,2025-03-20 00:00:00,2025-03-20,10.73,10.87,11.08,10.63,32656400,355785422.0,0.37,0.04,6.61,10.83
002786,2025-03-21 00:00:00,2025-03-21,10.65,10.18,10.75,10.12,31241600,322307228.0,-6.35,-0.69,6.32,10.87
002786,2025-03-24 00:00:00,2025-03-24,10.17,9.57,10.17,9.3,28026300,269896954.0,-5.99,-0.61,5.67,10.18
002786,2025-03-25 00:00:00,2025-03-25,9.53,9.36,9.53,9.29,12790800,119952524.0,-2.19,-0.21,2.59,9.57
002786,2025-03-26 00:00:00,2025-03-26,9.31,9.42,9.53,9.3,9011800,85102176.0,0.64,0.06,1.82,9.36
002786,2025-03-27 00:00:00,2025-03-27,9.42,9.34,9.44,9.2,8517300,79497586.0,-0.85,-0.08,1.72,9.42
002786,2025-03-28 00:00:00,2025-03-28,9.34,9.21,9.41,9.2,7484600,69547410.0,-1.39,-0.13,1.51,9.34
002786,2025-03-31 00:00:00,2025-03-31,9.1,9.16,9.16,8.88,10784100,97155998.0,-0.54,-0.05,2.18,9.21
002786,2025-04-01 00:00:00,2025-04-01,9.27,9.09,9.27,9.07,6729800,61670085.0,-0.76,-0.07,1.36,9.16
002786,2025-04-02 00:00:00,2025-04-02,9.08,9.05,9.15,9.03,5142600,46723822.0,-0.44,-0.04,1.04,9.09
002786,2025-04-03 00:00:00,2025-04-03,8.89,8.99,9.08,8.88,7102500,63792712.64,-0.66,-0.06,1.44,9.05
002786,2025-04-07 00:00:00,2025-04-07,8.5,8.09,8.5,8.09,9353700,76338900.88,-10.01,-0.9,1.89,8.99
002786,2025-04-08 00:00:00,2025-04-08,7.81,7.81,8.15,7.5,16492200,128320831.28,-3.46,-0.28,3.34,8.09
002786,2025-04-09 00:00:00,2025-04-09,7.56,8.03,8.08,7.08,17064900,129720718.66,2.82,0.22,3.45,7.81
002786,2025-04-10 00:00:00,2025-04-10,8.2,8.29,8.38,8.13,12970300,107423444.24,3.24,0.26,2.62,8.03
002786,2025-04-11 00:00:00,2025-04-11,8.1,8.25,8.33,8.05,11585500,95237222.84,-0.48,-0.04,2.34,8.29
002786,2025-04-14 00:00:00,2025-04-14,8.35,8.41,8.5,8.35,9890000,83405469.0,1.94,0.16,2.0,8.25
002786,2025-04-15 00:00:00,2025-04-15,8.42,8.41,8.47,8.29,6893000,57714586.0,0.0,0.0,1.4,8.41
002786,2025-04-16 00:00:00,2025-04-16,8.37,8.16,8.41,8.05,7866700,64491942.0,-2.97,-0.25,1.59,8.41
002786,2025-04-17 00:00:00,2025-04-17,8.08,8.19,8.32,8.08,6854000,56475503.61,0.37,0.03,1.39,8.16
002786,2025-04-18 00:00:00,2025-04-18,8.2,8.23,8.27,8.11,4864000,39800696.2,0.49,0.04,0.98,8.19
