index_code,stock_code,short_name
399101,002205,国统股份
399101,002817,黄山胶囊
399101,002905,金逸影视
399101,002609,捷顺科技
399101,002877,智能自控
399101,002885,京泉华
399101,002234,民和股份
399101,002972,科安达
399101,002679,福建金森
399101,002737,葵花药业
399101,002128,电投能源
399101,002347,泰尔股份
399101,002730,电光科技
399101,002958,青农商行
399101,002836,新宏泽
399101,002024,ST易购
399101,002108,沧州明珠
399101,002091,江苏国泰
399101,002395,双象股份
399101,002552,宝鼎科技
399101,002617,露笑科技
399101,002962,五方光电
399101,002542,*ST中岩
399101,002661,克明食品
399101,002481,双塔食品
399101,002292,奥飞娱乐
399101,002546,新联电子
399101,002702,海欣食品
399101,002420,毅昌科技
399101,002723,小崧股份
399101,002891,中宠股份
399101,002096,易普力
399101,002298,中电鑫龙
399101,002421,达实智能
399101,002353,杰瑞股份
399101,002712,思美传媒
399101,002760,凤形股份
399101,002766,索菱股份
399101,002103,广博股份
399101,002545,东方铁塔
399101,002577,雷柏科技
399101,002605,姚记科技
399101,002276,万马股份
399101,002172,澳洋健康
399101,002389,航天彩虹
399101,003008,开普检测
399101,002179,中航光电
399101,002228,合兴包装
399101,002467,二六三
399101,002524,光正眼科
399101,002315,焦点科技
399101,002151,北斗星通
399101,002170,芭田股份
399101,002587,奥拓电子
399101,002721,金一文化
399101,002275,桂林三金
399101,002537,海联金汇
399101,002569,*ST步森
399101,002906,华阳集团
399101,002539,云图控股
399101,002613,北玻股份
399101,002701,奥瑞金
399101,002747,埃斯顿
399101,002177,御银股份
399101,002660,茂硕电源
399101,002775,文科股份
399101,003029,吉大正元
399101,002533,金杯电工
399101,002773,康弘药业
399101,002998,优彩资源
399101,002561,徐家汇
399101,002416,爱施德
399101,002302,西部建设
399101,002666,德联集团
399101,002232,启明信息
399101,002050,三花智控
399101,002137,实益达
399101,002979,雷赛智能
399101,002100,天康生物
399101,002722,物产金轮
399101,002153,石基信息
399101,002263,大东南
399101,002405,四维图新
399101,002471,中超控股
399101,002006,精工科技
399101,002556,辉隆股份
399101,002895,川恒股份
399101,002049,紫光国微
399101,002123,梦网科技
399101,002196,方正电机
399101,002299,圣农发展
399101,002051,中工国际
399101,002321,华英农业
399101,002884,凌霄泵业
399101,002459,晶澳科技
399101,002186,全 聚 德
399101,002576,通达动力
399101,002026,山东威达
399101,002243,力合科创
399101,002553,南方精工
399101,002104,恒宝股份
399101,002968,新大正
399101,002882,金龙羽
399101,002566,益盛药业
399101,002982,湘佳股份
399101,002295,精艺股份
399101,002404,嘉欣丝绸
399101,002041,登海种业
399101,002861,瀛通通讯
399101,002208,合肥城建
399101,002555,三七互娱
399101,002557,洽洽食品
399101,002574,明牌珠宝
399101,002908,德生科技
399101,003016,欣贺股份
399101,002451,摩恩电气
399101,002461,珠江啤酒
399101,003017,大洋生物
399101,002763,汇洁股份
399101,002076,*ST星光
399101,002365,永安药业
399101,002544,普天科技
399101,002554,惠博普
399101,002705,新宝股份
399101,002873,新天药业
399101,002658,雪迪龙
399101,002244,滨江集团
399101,002837,英维克
399101,002311,海大集团
399101,002601,龙佰集团
399101,002915,中欣氟材
399101,002106,莱宝高科
399101,002251,步步高
399101,002335,科华数据
399101,002732,燕塘乳业
399101,002482,广田集团
399101,002681,奋达科技
399101,002010,传化智联
399101,002943,宇晶股份
399101,002809,红墙股份
399101,002829,星网宇达
399101,002859,洁美科技
399101,002094,青岛金王
399101,002022,科华生物
399101,002629,仁智股份
399101,002279,久其软件
399101,002783,凯龙股份
399101,002936,郑州银行
399101,002985,北摩高科
399101,002053,云南能投
399101,002169,智光电气
399101,002474,榕基软件
399101,003033,征和工业
399101,003021,兆威机电
399101,002282,博深股份
399101,002848,*ST高斯
399101,002117,东港股份
399101,002769,普路通
399101,002052,同洲电子
399101,002396,星网锐捷
399101,002488,金固股份
399101,002063,远光软件
399101,002423,中粮资本
399101,002697,红旗连锁
399101,002878,元隆雅图
399101,002937,兴瑞科技
399101,002256,兆新股份
399101,002579,中京电子
399101,002748,世龙实业
399101,002182,宝武镁业
399101,002044,美年健康
399101,002112,三变科技
399101,002222,福晶科技
399101,002351,漫步者
399101,002534,西子洁能
399101,002881,美格智能
399101,003032,*ST传智
399101,002129,TCL中环
399101,002184,海得控制
399101,002664,信质集团
399101,002403,爱仕达
399101,002462,嘉事堂
399101,002489,浙江永强
399101,002830,名雕股份
399101,002047,*ST宝鹰
399101,002484,江海股份
399101,002757,南兴股份
399101,002976,瑞玛精密
399101,002159,三特索道
399101,002397,梦洁股份
399101,002683,广东宏大
399101,002893,京能热力
399101,002973,侨银股份
399101,002054,德美化工
399101,002206,海 利 得
399101,002322,理工能科
399101,002367,康力电梯
399101,002559,亚威股份
399101,002173,创新医疗
399101,003040,楚天龙
399101,002641,公元股份
399101,002983,芯瑞达
399101,003000,劲仔食品
399101,003019,宸展光电
