stock_code,name_snapshot,latest_close,latest_total_cap,latest_float_cap,pb
603013,亚普股份,20.03,10179637867.0,10179637867.0,2.2
002709,天赐材料,59.32,120927482654.0,89514533647.0,6.34
603317,天味食品,17.28,18398271640.0,18398271640.0,3.87
001266,宏英智能,39.52,4095747756.0,2297633599.0,4.15
001203,大中矿业,51.3,78647026316.0,66996472459.0,10.72
002378,章源钨业,32.92,39550669565.0,39343395467.0,14.54
603353,和顺石油,43.82,7532920920.0,7467716760.0,4.69
002497,雅化集团,30.28,34899593106.0,32084312982.0,3.16
001336,楚环科技,29.07,2336457645.0,1433827168.0,2.85
603139,康惠股份,36.78,3673586400.0,3673586400.0,6.73
000818,航锦科技,15.42,10177200601.0,10149620389.0,4.66
002136,安 纳 达,15.31,3291956200.0,3283317686.0,3.02
603803,瑞斯康达,14.87,6318018493.0,6318018493.0,4.11
002818,富森美,12.23,9153652836.0,3648635656.0,1.53
000567,海德股份,6.06,11844828459.0,11808151388.0,1.97
002354,天娱数科,5.95,9844785629.0,9672877985.0,7.16
603399,永杉锂业,17.63,9031684142.0,9031684142.0,5.58
002176,江特电机,16.09,27454778598.0,27408139786.0,9.29
000551,创元科技,15.76,7639392805.0,7636463904.0,2.51
000716,黑芝麻,5.18,3899939379.0,3826410766.0,1.54
000692,惠天热电,4.96,2642851561.0,2642851561.0,14.25
605006,山东玻纤,12.13,7278586777.0,7278586777.0,2.97
605158,华达新材,7.83,4004418600.0,4004418600.0,1.63
002079,苏州固锝,11.69,10615996716.0,9475677336.0,2.97
002348,高乐股份,10.59,10030848000.0,9568414459.0,25.21
002210,飞马国际,3.31,8808680482.0,8788936580.0,9.4
002652,扬子新材,6.18,3164555520.0,3164555520.0,13.48
600186,莲花控股,10.82,19397713416.0,19358476309.0,10.27
002548,金新农,5.08,4207122183.0,4086715179.0,4.02
002520,日发精机,5.75,4313909733.0,4125280983.0,14.57
000402,金 融 街,2.88,8608118132.0,8607323367.0,0.43
600545,卓郎智能,5.43,9708363365.0,9708363365.0,3.7
301638,南网数字,28.98,92146263665.0,6809725008.0,8.21
600881,亚泰集团,1.58,5106798561.0,5106798561.0,11.88
600736,苏州高新,8.58,9878093142.0,9878093142.0,1.33
600606,绿地控股,1.47,20659700922.0,20659700922.0,0.54
300098,高新兴,5.57,9679447272.0,8587509635.0,3.66
603306,华懋科技,100.93,33255965272.0,33255965272.0,10.35
300477,ST合纵,2.44,2615725596.0,2418071620.0,31.54
920627,力王股份,21.04,1987228000.0,985040200.0,4.2
300436,广生堂,116.77,18597607590.0,15965024320.0,73.92
002738,中矿资源,91.25,65836133776.0,64899557373.0,5.4
300825,阿尔特,9.87,4884470347.0,4781895573.0,2.42
688669,聚石化学,30.94,3754053354.0,3754053354.0,3.46
600259,中稀有色,93.81,31561052717.0,31561052717.0,8.62
300571,平治信息,42.37,5911813817.0,4899547105.0,4.79
300161,华中数控,30.8,6119864705.0,6005824532.0,3.96
688095,福昕软件,77.16,7049300872.0,7049300872.0,2.68
603275,众辰科技,48.59,7228824240.0,2018232442.0,2.4
301513,尚水智能,82.68,8268000000.0,1665918411.0,8.14
301487,盟固利,24.75,11375506841.0,6751651599.0,5.98
601208,东材科技,38.66,39053672576.0,39053672576.0,6.42
600258,首旅酒店,16.02,17887982079.0,17887982079.0,1.46
688032,禾迈股份,116.05,14398734897.0,14398734897.0,2.49
300511,雪榕生物,8.22,5267762472.0,4488145203.0,2.95
600539,狮头股份,18.51,4257300000.0,4257300000.0,14.19
688411,海博思创,254.88,45901974361.0,33790531467.0,9.19
600549,厦门钨业,59.49,94445480789.0,92443413490.0,5.16
002780,三夫户外,16.42,2715239327.0,2145301883.0,3.31
300709,精研科技,41.76,7770562199.0,6233806560.0,3.6
688308,欧科亿,93.72,14881021674.0,14881021674.0,5.25
688005,容百科技,38.4,27445458048.0,27441360077.0,3.43
605589,圣泉集团,40.92,34634217338.0,34520111918.0,3.17
001337,四川黄金,51.09,21457800000.0,21457800000.0,10.21
300748,金力永磁,33.49,46068485557.0,37844761399.0,6.05
688063,派能科技,77.97,19130660645.0,19130660645.0,2.07
301308,江波龙,412.5,172897422638.0,113187586050.0,14.19
002340,格林美,9.65,49247168343.0,48979907974.0,2.31
000890,法尔胜,17.18,7207078170.0,7206856170.0,250.82
000589,贵州轮胎,5.11,7944131215.0,7894033797.0,0.86
688148,芳源股份,10.91,5565988008.0,5565988008.0,14.48
600188,兖矿能源,23.18,232668799010.0,138184139824.0,3.04
688353,华盛锂电,125.78,20061910000.0,20061910000.0,5.85
001896,豫能控股,16.98,25907766983.0,25907766983.0,7.38
300074,华平股份,4.36,2399341136.0,2397297386.0,2.81
000703,恒逸石化,17.08,65264101244.0,64936639214.0,2.47
300057,万顺新材,9.72,9099516082.0,7421888065.0,1.72
300380,安硕信息,35.5,4914586275.0,4521476777.0,11.92
688400,凌云光,49.54,23741073768.0,22836787353.0,4.16
300307,慈星股份,6.92,5539832130.0,5445344083.0,1.68
688805,健信超导,53.84,9027891200.0,1696975369.0,7.39
603778,国晟科技,27.23,17972946928.0,17504999977.0,57.51
300688,创业黑马,25.91,4336801912.0,3844485847.0,11.83
300428,立中集团,21.02,14410924244.0,12543920403.0,1.59
002812,恩捷股份,84.53,83019609253.0,69539201958.0,3.25
301486,致尚科技,218.41,28105216118.0,15824624630.0,11.0
301326,捷邦科技,171.88,12497348049.0,12385228146.0,10.12
300881,盛德鑫泰,48.8,5368000000.0,2801425000.0,4.34
000709,河钢股份,2.43,25119204254.0,25115052127.0,0.48
601975,招商南油,4.59,21482782072.0,21482782072.0,1.79
300459,汤姆猫,4.17,14660931616.0,13707588814.0,19.92
688420,美腾科技,27.19,2404411700.0,1134883410.0,1.69
000688,国城矿业,49.27,58388285875.0,58388073028.0,19.46
301291,明阳电气,62.19,19415718000.0,10031660874.0,3.83
300069,金利华电,28.55,3340350000.0,3340350000.0,12.24
002240,盛新锂能,54.77,50130645369.0,50000010704.0,4.89
300738,奥飞数据,25.06,24688874907.0,24681107310.0,6.43
300815,玉禾田,21.31,8493995520.0,8319004619.0,1.81
920090,*ST同辉,4.86,968761034.0,723813374.0,25.23
601969,海南矿业,12.53,24958904840.0,24715131998.0,3.63
300919,中伟新材,65.35,68111289620.0,59631580272.0,2.87
688319,欧林生物,29.99,12167209911.0,12158224907.0,13.46
688320,禾川科技,33.43,5048386921.0,4961392300.0,4.16
600455,博通股份,27.63,1725714540.0,1725714540.0,5.04
